DELIVERY_ID,PURCHASE_ORDER_LINE_ID,SUPPLIER_ID,PROMISED_DATE,ACTUAL_DELIVERY_DATE,REQUESTED_QUANTITY,DELIVERED_QUANTITY,ON_TIME_FLAG,IN_FULL_FLAG,OTIF_FLAG,DAYS_EARLY_LATE,CREATED_TIMESTAMP
1,11073,48,2025-03-19,2025-03-20,208,208,False,True,False,1,2025-03-19 20:11:07
2,668,9,2024-08-14,2024-08-15,384,384,False,True,False,1,2024-08-14 20:11:07
3,4283,141,2024-05-22,2024-05-24,136,136,False,True,False,2,2024-05-22 20:11:07
4,5660,25,2025-07-25,2025-07-25,222,222,True,True,True,0,2025-07-25 20:11:07
5,6301,106,2024-04-28,2024-04-26,87,87,True,True,True,-2,2024-04-28 20:11:07
6,11938,75,2024-05-13,2024-05-12,236,236,True,True,True,-1,2024-05-13 20:11:07
7,8417,90,2024-03-04,2024-03-07,252,181,False,False,False,3,2024-03-04 20:11:07
8,11061,6,2025-03-13,2025-03-12,438,438,True,True,True,-1,2025-03-13 20:11:07
9,7801,162,2024-12-27,2024-12-24,218,218,True,True,True,-3,2024-12-27 20:11:07
10,1288,45,2025-09-29,2025-10-06,103,103,False,True,False,7,2025-09-29 20:11:07
11,1634,16,2025-05-29,2025-05-27,432,432,True,True,True,-2,2025-05-29 20:11:07
12,8766,191,2024-02-21,2024-02-21,181,181,True,True,True,0,2024-02-21 20:11:07
13,14711,66,2024-10-13,2024-10-13,184,184,True,True,True,0,2024-10-13 20:11:07
14,9215,150,2024-10-20,2024-11-01,432,432,False,True,False,12,2024-10-20 20:11:07
15,1208,194,2025-06-28,2025-06-30,427,427,False,True,False,2,2025-06-28 20:11:07
16,4327,139,2025-09-30,2025-10-01,300,300,False,True,False,1,2025-09-30 20:11:07
17,10654,10,2025-06-27,2025-06-22,219,219,True,True,True,-5,2025-06-27 20:11:07
18,3703,50,2024-06-10,2024-06-15,288,288,False,True,False,5,2024-06-10 20:11:07
19,8698,127,2024-10-11,2024-10-15,325,325,False,True,False,4,2024-10-11 20:11:07
20,515,21,2024-09-04,2024-09-04,143,109,True,False,False,0,2024-09-04 20:11:07
21,5711,25,2024-01-22,2024-01-27,466,466,False,True,False,5,2024-01-22 20:11:07
22,13264,119,2025-01-19,2025-01-19,409,409,True,True,True,0,2025-01-19 20:11:07
23,7282,14,2024-11-14,2024-11-15,107,107,False,True,False,1,2024-11-14 20:11:07
24,14891,159,2024-08-13,2024-08-18,286,286,False,True,False,5,2024-08-13 20:11:07
25,14592,146,2025-05-23,2025-05-27,434,434,False,True,False,4,2025-05-23 20:11:07
26,178,96,2025-04-12,2025-04-12,199,199,True,True,True,0,2025-04-12 20:11:07
27,1922,188,2025-03-24,2025-04-04,360,360,False,True,False,11,2025-03-24 20:11:07
28,14826,57,2024-01-26,2024-01-26,117,106,True,False,False,0,2024-01-26 20:11:07
29,3860,155,2025-11-21,2025-11-21,61,61,True,True,True,0,2025-11-21 20:11:07
30,9420,19,2024-10-10,2024-10-23,269,269,False,True,False,13,2024-10-10 20:11:07
31,11315,53,2024-05-18,2024-05-18,151,151,True,True,True,0,2024-05-18 20:11:07
32,6988,5,2025-03-06,2025-03-06,311,311,True,True,True,0,2025-03-06 20:11:07
33,2897,176,2025-07-17,2025-07-16,83,83,True,True,True,-1,2025-07-17 20:11:07
34,7251,25,2024-01-31,2024-01-29,103,103,True,True,True,-2,2024-01-31 20:11:07
35,8275,75,2024-10-30,2024-10-25,166,166,True,True,True,-5,2024-10-30 20:11:07
36,4278,193,2024-10-14,2024-10-12,125,125,True,True,True,-2,2024-10-14 20:11:07
