EMISSION_RECORD_ID,RECORD_DATE,SITE_ID,SUPPLIER_ID,EMISSION_SOURCE,POLLUTANT_NAME,EMISSION_QUANTITY,EMISSION_UNIT_OF_MEASURE_ID,PERMIT_LIMIT,IS_WITHIN_PERMIT_LIMIT_FLAG,MEASUREMENT_METHOD
1,2023-01-01,,1,Transportation,CO2,291.46,4,344.08,True,Calculated
2,2023-01-31,,1,Manufacturing,CO2,251.87,4,325.01,True,Calculated
3,2023-03-02,,1,Facilities,CO2,449.76,4,564.28,True,Estimated
4,2023-04-01,,1,Manufacturing,CO2,98.15,4,127.67,True,Direct Measurement
5,2023-05-01,,1,Manufacturing,CO2,197.06,4,228.65,True,Direct Measurement
6,2023-05-31,,1,Transportation,CO2,299.55,4,416.7,True,Estimated
7,2023-06-30,,1,Transportation,CO2,393.56,4,586.16,True,Direct Measurement
8,2023-07-30,,1,Transportation,CO2,409.44,4,493.18,True,Calculated
9,2023-08-29,,1,Facilities,CO2,389.33,4,481.12,True,Direct Measurement
10,2023-09-28,,1,Manufacturing,CO2,206.52,4,296.41,True,Estimated
11,2023-10-28,,1,Manufacturing,CO2,345.44,4,487.61,True,Direct Measurement
12,2023-11-27,,1,Facilities,CO2,494.35,4,708.76,True,Direct Measurement
13,2023-12-27,,1,Transportation,CO2,492.97,4,688.01,True,Calculated
14,2024-01-26,,1,Transportation,CO2,92.78,4,125.95,True,Calculated
15,2024-02-25,,1,Facilities,CO2,387.5,4,546.42,True,Direct Measurement
16,2024-03-26,,1,Facilities,CO2,141.48,4,173.68,True,Estimated
17,2024-04-25,,1,Transportation,CO2,178.57,4,259.7,True,Direct Measurement
18,2024-05-25,,1,Manufacturing,CO2,425.28,4,485.34,True,Direct Measurement
19,2024-06-24,,1,Facilities,CO2,364.1,4,443.49,True,Estimated
20,2024-07-24,,1,Transportation,CO2,201.54,4,278.41,True,Calculated
21,2024-08-23,,1,Facilities,CO2,261.37,4,333.76,True,Calculated
22,2024-09-22,,1,Manufacturing,CO2,250.84,4,370.34,True,Estimated
