CONTRACT_ID,SUPPLIER_ID,MATERIAL_CATEGORY,CONTRACT_START_DATE,CONTRACT_END_DATE,CONTRACTED_QUANTITY,CONTRACTED_PRICE,UTILIZATION_PCT
1,184,Thermal Systems,2025-01-27,2025-07-26,22692,3578.09,0.4298
2,73,Reagents & Chemicals,2026-08-08,2028-07-28,31718,4318.18,0.6478
3,97,Reagents & Chemicals,2026-08-25,2026-11-23,17506,688.36,0.8991
4,177,Electronic Components,2025-12-28,2027-12-18,29661,2389.47,0.673
5,30,Thermal Systems,2026-09-09,2027-03-08,17125,3801.71,0.5609
6,37,Reagents & Chemicals,2025-10-07,2026-10-02,21537,2793.45,0.9547
7,183,Thermal Systems,2025-04-28,2025-07-27,30624,3573.25,0.8826
8,119,Alloys & Metals,2026-06-30,2027-06-25,25303,903.75,0.6462
9,133,Electronic Components,2026-09-04,2028-08-24,20066,1089.77,0.9947
10,62,Reagents & Chemicals,2025-09-16,2025-12-15,18504,2854.64,0.8593
11,21,Alloys & Metals,2026-01-01,2026-04-01,15834,4382.56,0.5017
12,146,Polymers & Plastics,2025-03-31,2027-03-21,34749,2192.79,0.8902
13,93,Thermal Systems,2026-07-22,2028-07-11,8520,552.8,0.8003
14,82,Polymers & Plastics,2026-04-06,2026-07-05,33154,1380.4,0.7258
15,12,Polymers & Plastics,2025-12-11,2026-03-11,34808,308.92,0.8902
16,4,Electronic Components,2026-05-28,2027-05-23,38493,3353.15,0.6815
17,66,Alloys & Metals,2025-11-22,2026-05-21,34707,3704.16,0.8795
18,170,Alloys & Metals,2026-06-26,2026-12-23,30141,1256.24,0.4853
19,162,Alloys & Metals,2026-01-02,2026-12-28,45114,301.05,0.8401
20,115,Electronic Components,2026-01-07,2026-07-06,27588,2622.95,0.76
21,37,Reagents & Chemicals,2025-02-09,2025-08-08,42093,363.08,0.4027
22,158,Thermal Systems,2026-04-23,2028-04-12,31330,3615.81,0.9873
23,158,Thermal Systems,2025-07-03,2026-06-28,29059,4722.87,0.725
24,118,Alloys & Metals,2026-02-22,2028-02-12,33732,1866.65,0.4157
25,5,Alloys & Metals,2025-12-04,2026-03-04,45245,4774.28,0.8715
26,75,Reagents & Chemicals,2026-05-06,2026-08-04,9999,2780.64,0.5615
27,182,Reagents & Chemicals,2025-09-09,2026-09-04,27558,4742.3,0.9168
28,33,Alloys & Metals,2026-05-30,2026-08-28,21861,432.29,0.6614
29,135,Polymers & Plastics,2026-06-24,2027-06-19,47631,1566.13,0.536
30,132,Alloys & Metals,2025-12-22,2027-12-12,30811,4133.04,0.6067
31,17,Polymers & Plastics,2025-02-12,2025-05-13,5293,4837.83,0.5809
32,137,Reagents & Chemicals,2026-09-05,2027-08-31,34939,4944.42,0.7017
33,113,Thermal Systems,2025-07-07,2027-06-27,48603,4591.04,0.4612
34,138,Reagents & Chemicals,2026-01-25,2028-01-15,18800,961.71,0.5846
35,158,Alloys & Metals,2025-08-03,2027-07-24,8242,3506.64,0.5269
36,20,Electronic Components,2025-12-15,2026-12-10,9220,1982.18,0.4413
37,118,Thermal Systems,2025-09-02,2026-08-28,32824,970.18,0.4483
38,131,Electronic Components,2026-05-21,2028-05-10,42870,3834.4,0.4146
39,182,Thermal Systems,2025-11-10,2027-10-31,18238,4655.03,0.6276
40,33,Alloys & Metals,2026-07-20,2026-10-18,38634,2807.57,0.9624
41,16,Reagents & Chemicals,2025-04-23,2027-04-13,13779,1371.7,0.7472
42,115,Thermal Systems,2026-02-05,2026-05-06,44826,4255.95,0.9662
43,148,Reagents & Chemicals,2026-07-07,2026-10-05,17255,2851.17,0.7294
44,125,Thermal Systems,2026-01-16,2028-01-06,32405,4500.17,0.9891
45,194,Alloys & Metals,2026-08-04,2027-07-30,4198,2921.81,0.8241
46,41,Thermal Systems,2025-08-01,2027-07-22,28054,2188.94,0.6694
47,112,Alloys & Metals,2025-09-29,2027-09-19,13624,893.33,0.9349
48,63,Polymers & Plastics,2025-07-04,2025-12-31,3597,2146.52,0.4255
49,141,Alloys & Metals,2025-11-21,2026-05-20,14754,1317.59,0.7471
50,56,Polymers & Plastics,2025-02-01,2027-01-22,2549,4987.39,0.5829
51,112,Thermal Systems,2025-12-04,2026-06-02,40748,2067.69,0.9093
52,83,Alloys & Metals,2026-06-25,2027-06-20,49879,4024.73,0.7272
53,188,Polymers & Plastics,2025-02-23,2026-02-18,47303,2773.96,0.8543
54,188,Alloys & Metals,2026-08-26,2026-11-24,44237,4492.39,0.9355
55,41,Alloys & Metals,2026-03-11,2026-06-09,21871,4902.77,0.8556
56,34,Alloys & Metals,2025-06-05,2027-05-26,40065,1713.8,0.8549
57,167,Electronic Components,2025-06-02,2025-08-31,7432,1273.77,0.962
58,5,Reagents & Chemicals,2026-01-05,2027-12-26,9949,2574.32,0.6532
59,17,Alloys & Metals,2025-10-23,2026-01-21,9677,4993.12,0.9071
60,152,Thermal Systems,2025-12-03,2026-11-28,29966,810.03,0.9995
61,165,Alloys & Metals,2026-08-28,2027-08-23,39135,1566.98,0.5386
62,183,Alloys & Metals,2025-11-21,2027-11-11,38909,787.47,0.4034
63,3,Reagents & Chemicals,2025-06-11,2027-06-01,24252,2278.47,0.8502
64,14,Thermal Systems,2025-02-20,2025-08-19,26023,2127.34,0.705
65,165,Polymers & Plastics,2025-04-15,2025-10-12,12975,1230.74,0.597
66,144,Reagents & Chemicals,2025-03-07,2026-03-02,19591,4705.67,0.4965
67,127,Thermal Systems,2025-10-08,2026-01-06,1790,3365.31,0.6015
68,146,Alloys & Metals,2026-04-14,2026-10-11,13296,3227.44,0.4163
69,83,Polymers & Plastics,2025-12-02,2027-11-22,10300,4920.25,0.5044
70,10,Alloys & Metals,2025-04-20,2025-10-17,49377,197.27,0.9147
71,174,Electronic Components,2025-01-20,2025-07-19,5966,4264.55,0.8144
72,28,Electronic Components,2026-06-05,2027-05-31,24097,3596.45,0.8475
73,35,Reagents & Chemicals,2026-06-01,2027-05-27,23699,4167.1,0.5836
74,47,Alloys & Metals,2026-05-06,2027-05-01,45449,1397.14,0.4682
75,61,Thermal Systems,2025-05-09,2027-04-29,35222,3966.62,0.8013
76,140,Polymers & Plastics,2026-08-31,2027-02-27,37392,3873.54,0.5713
77,64,Alloys & Metals,2025-12-13,2027-12-03,33359,1846.71,0.4375
78,176,Alloys & Metals,2026-06-16,2026-12-13,8947,2924.32,0.935
79,106,Reagents & Chemicals,2026-02-02,2028-01-23,15561,2723.7,0.6102
80,126,Thermal Systems,2026-04-22,2028-04-11,10195,679.82,0.5251
81,183,Thermal Systems,2025-07-08,2026-01-04,10559,546.71,0.897
82,116,Polymers & Plastics,2025-10-09,2026-10-04,18300,3202.68,0.7145
83,15,Reagents & Chemicals,2025-07-13,2027-07-03,24034,3154.08,0.7791
84,13,Alloys & Metals,2026-06-20,2027-06-15,14649,3871.22,0.8536
85,62,Electronic Components,2025-10-31,2026-04-29,34059,3352.02,0.4348
86,78,Thermal Systems,2025-11-06,2026-05-05,21058,52.01,0.7741
87,14,Polymers & Plastics,2025-06-11,2025-12-08,28633,3656.78,0.9559
88,176,Alloys & Metals,2025-11-08,2026-02-06,34434,1748.13,0.6207
89,143,Electronic Components,2025-07-11,2027-07-01,33540,449.25,0.456
90,46,Alloys & Metals,2025-05-29,2027-05-19,39923,4583.61,0.4699
91,117,Thermal Systems,2026-02-22,2028-02-12,17299,1901.49,0.657
92,52,Thermal Systems,2025-09-04,2025-12-03,38180,4825.98,0.8371
93,67,Reagents & Chemicals,2025-03-04,2027-02-22,43372,2681.02,0.7414
94,16,Reagents & Chemicals,2025-06-04,2025-09-02,31786,3518.47,0.4995
95,19,Polymers & Plastics,2026-08-30,2027-08-25,40999,2412.77,0.5602
96,185,Reagents & Chemicals,2025-05-19,2027-05-09,22447,2430.12,0.6509
97,62,Reagents & Chemicals,2025-07-22,2027-07-12,16260,1169.23,0.6126
98,15,Polymers & Plastics,2025-06-09,2027-05-30,43319,3962.88,0.8265
99,135,Reagents & Chemicals,2025-07-19,2026-01-15,24480,4734.0,0.4612
100,149,Electronic Components,2026-03-17,2027-03-12,20863,928.75,0.8319
101,38,Polymers & Plastics,2025-04-07,2025-07-06,17267,2059.7,0.9019
102,85,Polymers & Plastics,2025-07-09,2026-01-05,35697,1910.03,0.7611
103,134,Alloys & Metals,2025-03-15,2025-06-13,4712,4715.34,0.6745
104,188,Alloys & Metals,2026-02-05,2026-08-04,49296,2254.97,0.9667
105,157,Alloys & Metals,2026-01-28,2028-01-18,29731,1903.45,0.6142
106,124,Thermal Systems,2026-02-27,2028-02-17,9468,1170.48,0.5423
107,72,Alloys & Metals,2025-06-13,2025-09-11,37464,2593.04,0.9527
108,169,Reagents & Chemicals,2026-06-16,2026-09-14,17250,4379.71,0.9501
109,175,Thermal Systems,2025-04-07,2025-10-04,18894,1970.47,0.5949
110,163,Thermal Systems,2026-04-13,2028-04-02,12743,1053.36,0.5992
111,58,Electronic Components,2025-06-05,2025-09-03,17943,1965.7,0.9913
112,122,Thermal Systems,2025-06-22,2027-06-12,40470,2880.27,0.9447
113,175,Alloys & Metals,2026-07-01,2026-09-29,27150,3733.89,0.64
114,36,Thermal Systems,2025-05-12,2027-05-02,48396,3794.43,0.7068
115,21,Polymers & Plastics,2025-11-19,2026-11-14,16615,1472.18,0.4987
116,199,Electronic Components,2026-03-11,2027-03-06,25222,2713.41,0.8103
117,27,Reagents & Chemicals,2026-06-08,2026-12-05,5784,4920.76,0.7652
118,198,Thermal Systems,2026-08-13,2028-08-02,38779,3603.02,0.5988
119,147,Electronic Components,2025-02-05,2025-08-04,31528,722.04,0.7813
120,101,Electronic Components,2025-11-09,2026-02-07,3278,4975.25,0.5172
121,200,Reagents & Chemicals,2026-03-16,2026-09-12,20636,1996.48,0.8465
122,79,Reagents & Chemicals,2025-06-22,2025-12-19,18240,2521.01,0.7785
123,2,Alloys & Metals,2026-06-07,2027-06-02,30184,4643.62,0.9438
124,191,Alloys & Metals,2026-01-13,2026-07-12,33983,2230.16,0.5118
125,38,Polymers & Plastics,2025-03-26,2026-03-21,32113,4383.87,0.9284
126,32,Alloys & Metals,2026-03-06,2027-03-01,47893,3626.92,0.8871
127,80,Alloys & Metals,2025-07-28,2026-01-24,33003,406.74,0.6291
128,11,Alloys & Metals,2025-08-18,2025-11-16,33065,2295.05,0.4168
129,111,Reagents & Chemicals,2025-11-11,2026-02-09,24873,2809.42,0.4277
130,105,Polymers & Plastics,2026-01-24,2028-01-14,42928,1924.17,0.6461
131,21,Thermal Systems,2025-04-19,2025-10-16,33701,128.24,0.4784
132,132,Alloys & Metals,2026-09-08,2027-03-07,11890,2757.0,0.9747
133,101,Polymers & Plastics,2025-09-16,2026-03-15,35606,2210.5,0.5411
134,142,Thermal Systems,2026-03-08,2028-02-26,7310,900.56,0.6409
135,160,Electronic Components,2025-04-10,2025-07-09,36719,522.94,0.7011
136,164,Alloys & Metals,2025-02-23,2026-02-18,16594,4763.18,0.9511
137,119,Reagents & Chemicals,2026-08-01,2027-07-27,40079,2444.68,0.9914
138,89,Polymers & Plastics,2026-07-08,2027-07-03,24219,2238.32,0.6665
139,100,Polymers & Plastics,2026-01-06,2027-12-27,16607,3781.01,0.7711
140,174,Polymers & Plastics,2025-06-02,2025-08-31,19792,3007.48,0.6956
141,13,Alloys & Metals,2026-03-20,2028-03-09,19057,1535.44,0.8451
142,113,Electronic Components,2025-04-12,2025-10-09,8733,1006.34,0.805
143,10,Polymers & Plastics,2026-03-05,2027-02-28,17484,1162.49,0.5546
144,158,Alloys & Metals,2025-09-16,2026-09-11,9392,4812.98,0.9872
145,59,Polymers & Plastics,2025-01-23,2025-07-22,16344,108.57,0.7726
146,180,Thermal Systems,2025-07-22,2025-10-20,30318,4062.57,0.6644
147,30,Electronic Components,2025-10-19,2026-01-17,45109,3737.4,0.884
148,94,Electronic Components,2026-05-21,2026-08-19,39135,908.7,0.8918
149,62,Polymers & Plastics,2025-07-13,2026-07-08,10042,2220.59,0.7347
150,86,Polymers & Plastics,2026-01-25,2026-07-24,4785,3987.89,0.778
151,58,Reagents & Chemicals,2026-02-10,2026-08-09,12510,2012.77,0.4281
152,163,Electronic Components,2025-09-15,2027-09-05,43983,2566.67,0.5524
153,21,Electronic Components,2026-07-30,2027-01-26,24733,3445.93,0.5398
154,163,Reagents & Chemicals,2026-03-16,2028-03-05,37250,2067.27,0.4287
155,12,Thermal Systems,2026-05-07,2026-08-05,26292,2766.77,0.749
156,26,Alloys & Metals,2025-03-12,2027-03-02,39670,566.69,0.9106
157,141,Polymers & Plastics,2025-02-06,2025-05-07,49563,2176.41,0.9112
158,16,Reagents & Chemicals,2026-03-22,2026-09-18,13558,1555.34,0.8102
159,171,Electronic Components,2026-08-31,2026-11-29,18084,3509.58,0.8239
160,97,Thermal Systems,2025-11-02,2026-10-28,35934,2902.97,0.507
161,172,Reagents & Chemicals,2026-03-28,2028-03-17,18458,365.95,0.539
162,15,Electronic Components,2025-03-11,2027-03-01,20864,4322.67,0.8412
163,191,Polymers & Plastics,2026-04-04,2028-03-24,30460,2864.89,0.7582
164,137,Electronic Components,2025-11-10,2026-05-09,14150,3555.54,0.8063
165,130,Reagents & Chemicals,2025-06-04,2027-05-25,9994,2514.86,0.4362
166,164,Electronic Components,2026-04-21,2027-04-16,43204,1074.6,0.4199
167,65,Reagents & Chemicals,2025-09-12,2027-09-02,40578,1433.53,0.8397
168,109,Alloys & Metals,2025-12-31,2026-12-26,27979,1537.75,0.9034
169,120,Electronic Components,2025-10-17,2027-10-07,43306,3145.11,0.6337
170,164,Polymers & Plastics,2026-01-09,2026-04-09,1032,680.99,0.7956
171,156,Electronic Components,2025-07-25,2026-01-21,7372,3123.38,0.9946
172,163,Reagents & Chemicals,2026-04-07,2026-07-06,13211,1932.04,0.9057
173,129,Polymers & Plastics,2025-11-14,2026-05-13,6893,75.0,0.5932
174,114,Polymers & Plastics,2026-08-15,2028-08-04,39294,3911.76,0.5289
175,114,Alloys & Metals,2025-10-15,2027-10-05,3168,100.48,0.8432
176,157,Alloys & Metals,2025-06-22,2027-06-12,42888,2525.36,0.6662
177,132,Alloys & Metals,2025-04-09,2027-03-30,30002,3183.9,0.6749
178,71,Thermal Systems,2026-02-07,2026-05-08,28098,3941.6,0.9855
179,136,Alloys & Metals,2025-08-22,2027-08-12,12055,3699.73,0.5898
180,98,Electronic Components,2025-12-26,2026-06-24,5401,876.3,0.7383
181,181,Alloys & Metals,2026-07-20,2028-07-09,14195,3720.76,0.4403
182,26,Alloys & Metals,2025-03-31,2027-03-21,24432,4566.21,0.46
183,48,Alloys & Metals,2026-05-26,2028-05-15,12349,1567.35,0.9413
184,141,Electronic Components,2026-05-05,2026-11-01,41369,984.4,0.7351
185,139,Reagents & Chemicals,2025-02-22,2026-02-17,20711,3270.09,0.4605
186,28,Alloys & Metals,2025-10-21,2026-01-19,1490,54.75,0.7569
187,133,Polymers & Plastics,2025-08-22,2027-08-12,2008,2994.68,0.8616
188,10,Polymers & Plastics,2026-08-23,2027-08-18,25495,4879.84,0.4035
189,127,Reagents & Chemicals,2025-11-22,2027-11-12,27841,2043.21,0.6112
190,50,Electronic Components,2026-03-29,2027-03-24,14001,2108.0,0.5283
191,180,Thermal Systems,2025-12-25,2027-12-15,25137,3946.97,0.8592
192,22,Alloys & Metals,2025-11-20,2026-05-19,45941,2454.88,0.724
193,196,Polymers & Plastics,2026-06-27,2026-09-25,40947,2168.82,0.6137
194,150,Alloys & Metals,2025-04-13,2025-10-10,11991,1711.9,0.95
195,150,Alloys & Metals,2026-07-30,2027-01-26,27671,2791.18,0.5362
196,27,Alloys & Metals,2025-09-04,2027-08-25,18343,2011.87,0.767
197,105,Reagents & Chemicals,2026-03-02,2027-02-25,39682,686.82,0.9015
198,151,Polymers & Plastics,2026-07-08,2026-10-06,48869,3545.8,0.9111
199,159,Electronic Components,2026-03-22,2027-03-17,41428,1766.57,0.4567
200,170,Electronic Components,2026-06-17,2026-12-14,44814,1615.65,0.9268
201,9,Reagents & Chemicals,2026-01-26,2026-07-25,38918,1988.98,0.7437
202,59,Alloys & Metals,2026-07-22,2028-07-11,28055,3478.96,0.7556
203,126,Polymers & Plastics,2026-09-05,2026-12-04,10015,2439.34,0.844
204,151,Alloys & Metals,2026-02-01,2026-07-31,18165,3955.62,0.5379
205,144,Thermal Systems,2026-04-28,2026-07-27,37633,3845.78,0.9879
206,89,Electronic Components,2025-11-17,2026-11-12,39750,2110.53,0.769
207,15,Polymers & Plastics,2026-05-15,2027-05-10,2011,3763.55,0.5888
208,58,Reagents & Chemicals,2025-10-29,2027-10-19,2875,4650.4,0.7393
209,64,Reagents & Chemicals,2025-09-03,2025-12-02,29259,1052.93,0.9483
210,64,Electronic Components,2026-05-19,2026-08-17,4926,4102.69,0.7277
211,160,Reagents & Chemicals,2026-02-04,2028-01-25,31317,4252.1,0.9088
212,199,Thermal Systems,2026-03-23,2026-09-19,17686,2605.73,0.528
213,189,Polymers & Plastics,2025-01-24,2027-01-14,16125,1478.21,0.4955
