GEOGRAPHY_ID,GEOGRAPHY_CODE,GEOGRAPHY_NAME,GEOGRAPHY_TYPE,PARENT_GEOGRAPHY_ID,ISO_COUNTRY_CODE,ISO_COUNTRY_CODE_2,ISO_REGION_CODE,FIPS_CODE,POSTAL_CODE,VALID_FROM_TIMESTAMP,VALID_TO_TIMESTAMP,IS_CURRENT_FLAG,CREATED_BY_USER,CREATED_TIMESTAMP,UPDATED_BY_USER,UPDATED_TIMESTAMP
1,AMER,Americas,REGION,,USA,US,,,,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
2,EMEA,"Europe, Middle East & Africa",REGION,,DEU,DE,,,,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
3,APAC,Asia Pacific,REGION,,CHN,CN,,,,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
4,US,United States,COUNTRY,1,USA,US,,,,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
5,CA,Canada,COUNTRY,1,CAN,CA,,,,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
6,MX,Mexico,COUNTRY,1,MEX,MX,,,,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
7,BR,Brazil,COUNTRY,1,BRA,BR,,,,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
8,DE,Germany,COUNTRY,2,DEU,DE,,,,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
9,GB,United Kingdom,COUNTRY,2,GBR,GB,,,,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
10,FR,France,COUNTRY,2,FRA,FR,,,,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
11,IT,Italy,COUNTRY,2,ITA,IT,,,,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
12,ES,Spain,COUNTRY,2,ESP,ES,,,,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
13,NL,Netherlands,COUNTRY,2,NLD,NL,,,,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
14,CH,Switzerland,COUNTRY,2,CHE,CH,,,,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
15,CN,China,COUNTRY,3,CHN,CN,,,,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
16,JP,Japan,COUNTRY,3,JPN,JP,,,,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
17,KR,South Korea,COUNTRY,3,KOR,KR,,,,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
18,IN,India,COUNTRY,3,IND,IN,,,,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
19,AU,Australia,COUNTRY,3,AUS,AU,,,,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
20,SG,Singapore,COUNTRY,3,SGP,SG,,,,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
21,TW,Taiwan,COUNTRY,3,TWN,TW,,,,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
