INVENTORY_BALANCE_ID,PRODUCT_ID,SITE_ID,LOCATION_ID,LOT_ID,INVENTORY_STATUS,QUANTITY_ON_HAND,UNIT_OF_MEASURE_ID,LAST_TRANSACTION_DATE
1,170,3,19,1,QC_HOLD,708,1,2025-01-10 12:00:00
2,332,8,3,2,AVAILABLE,554,1,2025-01-10 12:00:00
3,317,6,2,3,AVAILABLE,735,1,2025-01-10 12:00:00
4,289,5,25,4,QC_HOLD,862,1,2025-01-10 12:00:00
5,381,2,14,5,QC_HOLD,334,1,2025-01-10 12:00:00
6,101,2,1,6,RESERVED,377,1,2025-01-10 12:00:00
7,183,5,38,7,AVAILABLE,213,1,2025-01-10 12:00:00
8,428,3,25,8,AVAILABLE,571,1,2025-01-10 12:00:00
9,35,6,32,9,RESERVED,819,1,2025-01-10 12:00:00
10,156,1,30,10,QC_HOLD,462,1,2025-01-10 12:00:00
11,80,8,13,11,QC_HOLD,371,1,2025-01-10 12:00:00
12,222,8,13,12,AVAILABLE,609,1,2025-01-10 12:00:00
13,292,6,12,13,AVAILABLE,695,1,2025-01-10 12:00:00
14,215,7,1,14,AVAILABLE,972,1,2025-01-10 12:00:00
15,162,8,30,15,AVAILABLE,884,1,2025-01-10 12:00:00
16,276,5,14,16,RESERVED,326,1,2025-01-10 12:00:00
17,122,6,7,17,AVAILABLE,479,1,2025-01-10 12:00:00
18,92,6,7,18,AVAILABLE,620,1,2025-01-10 12:00:00
19,315,4,15,19,RESERVED,612,1,2025-01-10 12:00:00
20,199,6,22,20,QC_HOLD,378,1,2025-01-10 12:00:00
21,435,1,5,21,AVAILABLE,782,1,2025-01-10 12:00:00
22,71,6,27,22,AVAILABLE,617,1,2025-01-10 12:00:00
23,450,6,27,23,RESERVED,300,1,2025-01-10 12:00:00
24,379,1,6,24,AVAILABLE,726,1,2025-01-10 12:00:00
25,400,7,19,25,RESERVED,860,1,2025-01-10 12:00:00
26,266,2,25,26,AVAILABLE,260,1,2025-01-10 12:00:00
27,361,3,40,27,RESERVED,664,1,2025-01-10 12:00:00
28,97,3,38,28,AVAILABLE,24,1,2025-01-10 12:00:00
29,349,5,31,29,QC_HOLD,376,1,2025-01-10 12:00:00
30,43,1,7,30,RESERVED,347,1,2025-01-10 12:00:00
31,308,2,6,31,AVAILABLE,610,1,2025-01-10 12:00:00
32,120,2,16,32,AVAILABLE,960,1,2025-01-10 12:00:00
33,392,3,24,33,AVAILABLE,763,1,2025-01-10 12:00:00
34,166,5,8,34,RESERVED,280,1,2025-01-10 12:00:00
35,353,2,1,35,QC_HOLD,1000,1,2025-01-10 12:00:00
36,47,5,26,36,RESERVED,220,1,2025-01-10 12:00:00
37,271,8,20,37,AVAILABLE,249,1,2025-01-10 12:00:00
38,112,5,15,38,QC_HOLD,636,1,2025-01-10 12:00:00
39,419,3,27,39,RESERVED,593,1,2025-01-10 12:00:00
40,292,5,16,40,QC_HOLD,890,1,2025-01-10 12:00:00
41,43,3,27,41,RESERVED,427,1,2025-01-10 12:00:00
42,43,7,1,42,AVAILABLE,897,1,2025-01-10 12:00:00
43,110,8,40,43,AVAILABLE,870,1,2025-01-10 12:00:00
44,14,4,9,44,QC_HOLD,683,1,2025-01-10 12:00:00
45,397,4,5,45,QC_HOLD,144,1,2025-01-10 12:00:00
46,44,5,35,46,RESERVED,222,1,2025-01-10 12:00:00
47,268,6,7,47,AVAILABLE,222,1,2025-01-10 12:00:00
48,173,8,38,48,RESERVED,191,1,2025-01-10 12:00:00
49,124,3,14,49,QC_HOLD,614,1,2025-01-10 12:00:00
50,418,8,11,50,RESERVED,490,1,2025-01-10 12:00:00
51,160,3,31,51,QC_HOLD,306,1,2025-01-10 12:00:00
