LOCATION_ID,LOCATION_CODE,LOCATION_NAME,LOCATION_TYPE,SITE_ID,PARENT_LOCATION_ID,LOCATION_LEVEL,CAPACITY_METRIC,CAPACITY_UNIT_OF_MEASURE,LENGTH,WIDTH,HEIGHT,DIMENSION_UNIT_OF_MEASURE,VALID_FROM_TIMESTAMP,VALID_TO_TIMESTAMP,IS_CURRENT_FLAG,CREATED_BY_USER,CREATED_TIMESTAMP,UPDATED_BY_USER,UPDATED_TIMESTAMP
1,LOC-01-001,Location 1 at Site 1,PRODUCTION,1,,1,1708,SQM,74,81,14,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
2,LOC-01-002,Location 2 at Site 1,WAREHOUSE,1,,1,4502,SQM,86,34,19,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
3,LOC-01-003,Location 3 at Site 1,WAREHOUSE,1,,1,4009,SQM,152,64,15,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
4,LOC-01-004,Location 4 at Site 1,RECEIVING,1,,1,3647,SQM,199,82,5,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
5,LOC-01-005,Location 5 at Site 1,SHIPPING,1,,1,3377,SQM,199,68,6,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
6,LOC-02-001,Location 1 at Site 2,PRODUCTION,2,,1,1135,SQM,157,65,6,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
7,LOC-02-002,Location 2 at Site 2,WAREHOUSE,2,,1,3729,SQM,159,47,12,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
8,LOC-02-003,Location 3 at Site 2,PRODUCTION,2,,1,4773,SQM,193,31,9,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
9,LOC-02-004,Location 4 at Site 2,RECEIVING,2,,1,2822,SQM,116,47,16,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
10,LOC-02-005,Location 5 at Site 2,RECEIVING,2,,1,4138,SQM,109,70,6,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
11,LOC-03-001,Location 1 at Site 3,SHIPPING,3,,1,3996,SQM,131,78,19,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
12,LOC-03-002,Location 2 at Site 3,WAREHOUSE,3,,1,2995,SQM,191,58,19,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
13,LOC-03-003,Location 3 at Site 3,RECEIVING,3,,1,2463,SQM,167,69,17,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
14,LOC-03-004,Location 4 at Site 3,PRODUCTION,3,,1,4312,SQM,166,38,7,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
15,LOC-03-005,Location 5 at Site 3,PRODUCTION,3,,1,1269,SQM,200,42,9,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
