INDEX_ID,INDEX_DATE,COMMODITY_TYPE,COMMODITY_NAME,INDEX_VALUE,INDEX_UNIT,CURRENCY_ID,PERCENTAGE_CHANGE_DAILY,PERCENTAGE_CHANGE_WEEKLY,PERCENTAGE_CHANGE_MONTHLY,DATA_SOURCE,CREATED_TIMESTAMP
1,2023-01-01,Thermal Systems,Thermal Systems,2478.5,USD/UNIT,1,-0.2701,-0.3344,-2.4554,ICE,2023-01-01 00:00:00
2,2023-01-01,Hydraulic Systems,Hydraulic Systems,1688.9,USD/UNIT,1,0.486,0.6733,4.5366,LME,2023-01-01 00:00:00
3,2023-01-01,Pneumatic Systems,Pneumatic Systems,1133.47,USD/UNIT,1,-2.3577,-2.5967,-8.9087,ICE,2023-01-01 00:00:00
4,2023-01-01,Alloys & Metals,Alloys & Metals,3582.1,USD/UNIT,1,1.0718,3.7306,-0.7809,CME,2023-01-01 00:00:00
5,2023-01-01,Polymers & Plastics,Polymers & Plastics,860.13,USD/UNIT,1,-2.3794,-2.9427,-5.8025,COMEX,2023-01-01 00:00:00
6,2023-01-01,Electronic Components,Electronic Components,148.02,USD/UNIT,1,-1.3256,-6.2969,-1.7011,COMEX,2023-01-01 00:00:00
7,2023-01-01,Reagents & Chemicals,Reagents & Chemicals,442.01,USD/UNIT,1,1.2483,1.0125,1.247,ICE,2023-01-01 00:00:00
8,2023-01-01,Bio-Robotics,Bio-Robotics,5807.5,USD/UNIT,1,0.2509,-3.6486,3.2769,COMEX,2023-01-01 00:00:00
9,2023-01-01,Precision Components,Precision Components,2170.03,USD/UNIT,1,-0.7847,1.5419,-0.5123,COMEX,2023-01-01 00:00:00
10,2023-01-08,Thermal Systems,Thermal Systems,2635.58,USD/UNIT,1,-0.1781,0.8161,-8.5506,LME,2023-01-08 00:00:00
11,2023-01-08,Hydraulic Systems,Hydraulic Systems,1802.76,USD/UNIT,1,2.0464,3.8039,2.4199,COMEX,2023-01-08 00:00:00
