RISK_ID,SUPPLIER_ID,ASSESSMENT_DATE,FINANCIAL_HEALTH_SCORE,CREDIT_RATING,BANKRUPTCY_PROBABILITY,GEOPOLITICAL_RISK_LEVEL,GEOPOLITICAL_RISK_SCORE,ESG_SCORE,ENVIRONMENTAL_SCORE,SOCIAL_SCORE,GOVERNANCE_SCORE,CYBER_RISK_SCORE,SUPPLY_CHAIN_RISK_SCORE,OVERALL_RISK_RATING,DATA_SOURCE,VALID_FROM_TIMESTAMP,VALID_TO_TIMESTAMP,IS_CURRENT_FLAG,CREATED_TIMESTAMP
1,1,2025-01-01,23.96,B,0.088045,LOW,78.94,31.85,36.66,38.97,37.49,59.35,19.01,HIGH,D&B,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
2,2,2025-01-01,83.09,AA,0.034981,MEDIUM,55.69,73.51,68.05,75.98,70.31,63.18,57.81,LOW,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
3,3,2025-01-01,95.77,AAA,0.017773,LOW,85.2,69.73,69.77,65.05,63.33,96.33,83.71,LOW,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
4,4,2025-01-01,78.41,A,0.025247,LOW,71.15,77.96,81.42,74.58,72.39,95.39,54.04,LOW,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
5,5,2025-01-01,48.23,BBB,0.064608,MEDIUM,45.7,46.74,37.36,45.08,45.01,74.85,28.23,MEDIUM,S&P,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
6,6,2025-01-01,47.57,BB+,0.070164,LOW,84.39,49.54,48.98,47.7,53.72,58.68,19.08,MEDIUM,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
7,7,2025-01-01,81.71,AAA,0.034905,MEDIUM,52.95,88.39,93.82,99.95,102.76,84.62,71.51,LOW,S&P,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
8,8,2025-01-01,51.29,BBB-,0.067484,LOW,94.46,45.27,42.86,36.88,36.71,50.35,62.16,MEDIUM,D&B,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
9,9,2025-01-01,56.96,BBB,0.056336,LOW,81.1,66.87,62.86,74.15,67.75,78.86,56.4,MEDIUM,S&P,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
10,10,2025-01-01,57.88,BBB-,0.049603,LOW,73.18,34.07,31.49,27.0,35.79,80.94,80.5,MEDIUM,Moody's,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
11,11,2025-01-01,57.24,BBB,0.049973,MEDIUM,50.13,55.12,54.96,57.98,62.15,63.28,56.59,MEDIUM,Moody's,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
12,12,2025-01-01,72.18,A,0.040542,LOW,91.89,79.18,74.01,78.06,70.54,76.26,72.4,LOW,S&P,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
13,13,2025-01-01,54.57,BBB,0.053555,MEDIUM,40.47,31.82,25.89,33.13,38.1,21.2,17.23,MEDIUM,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
14,14,2025-01-01,73.49,A-,0.037697,LOW,74.19,78.32,80.99,83.94,74.51,81.01,78.76,LOW,S&P,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
15,15,2025-01-01,67.93,A,0.052034,MEDIUM,51.18,44.52,44.5,38.59,51.87,54.57,47.19,MEDIUM,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
