MODEL_ID,MODEL_NAME,MODEL_VERSION,ALGORITHM,TRAINING_DATE,MAE,RMSE,MAPE,R2_SCORE,FEATURE_COUNT,TRAINING_SAMPLES,IS_DEPLOYED,DEPLOYMENT_DATE
1,Demand Sensing XGBoost,v1.0.0,XGBoost,2025-08-23 20:11:07,32.9005,48.8148,6.0265,0.901635,12,11967,False,
2,Demand Sensing XGBoost,v2.0.0,XGBoost,2025-09-22 20:11:07,33.1864,40.7191,7.8223,0.916434,10,8943,False,
3,Demand Sensing XGBoost,v3.0.0,XGBoost,2025-10-22 20:11:07,29.835,42.0448,8.9871,0.824498,11,11327,False,
4,Demand Sensing XGBoost,v4.0.0,XGBoost,2025-11-21 20:11:07,34.6363,49.4289,9.2279,0.873371,15,10419,False,
5,Demand Sensing XGBoost,v5.0.0,XGBoost,2025-12-21 20:11:07,30.6359,37.2078,9.1554,0.906255,11,9813,True,2025-12-21 20:11:07
6,Demand Sensing RF,v1.0.0,RandomForest,2025-08-23 20:11:07,48.4758,64.9727,9.6818,0.81548,8,10255,False,
7,Demand Sensing RF,v2.0.0,RandomForest,2025-09-22 20:11:07,47.9677,64.4265,12.6576,0.783428,11,8679,False,
8,Demand Sensing RF,v3.0.0,RandomForest,2025-10-22 20:11:07,35.9427,43.9405,12.2125,0.806403,14,9010,False,
9,Demand Sensing RF,v4.0.0,RandomForest,2025-11-21 20:11:07,48.4433,67.0857,12.6179,0.836204,8,11425,False,
10,Demand Sensing RF,v5.0.0,RandomForest,2025-12-21 20:11:07,39.3235,52.6079,8.7822,0.765294,9,9785,False,
11,Demand Baseline Linear,v1.0.0,LinearRegression,2025-08-23 20:11:07,69.7717,98.678,16.62,0.630462,15,8936,False,
12,Demand Baseline Linear,v2.0.0,LinearRegression,2025-09-22 20:11:07,48.8156,70.5916,17.4085,0.696024,11,11374,False,
13,Demand Baseline Linear,v3.0.0,LinearRegression,2025-10-22 20:11:07,52.3845,70.2291,13.1413,0.730632,12,11918,False,
14,Demand Baseline Linear,v4.0.0,LinearRegression,2025-11-21 20:11:07,47.5385,58.7064,17.2115,0.638446,8,11118,False,
15,Demand Baseline Linear,v5.0.0,LinearRegression,2025-12-21 20:11:07,55.0132,66.7543,17.8205,0.608419,8,11880,False,
