PARTY_ID,PARTY_CODE,PARTY_TYPE,PARTY_NAME,TAX_ID,DUNS_NUMBER,VALID_FROM_TIMESTAMP,VALID_TO_TIMESTAMP,IS_CURRENT_FLAG,CREATED_BY_USER,CREATED_TIMESTAMP,UPDATED_BY_USER,UPDATED_TIMESTAMP
1,PARTY-00001,SUPPLIER,Alpine Hydraulic AG,TAX000000001,860000001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
2,PARTY-00002,SUPPLIER,Premier Bio Systems,TAX000000002,860000002,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
3,PARTY-00003,SUPPLIER,United Composite Ltd,TAX000000003,860000003,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
4,PARTY-00004,SUPPLIER,Apex Composite Ltd,TAX000000004,860000004,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
5,PARTY-00005,SUPPLIER,Apex Bio Supply,TAX000000005,860000005,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
6,PARTY-00006,SUPPLIER,Precision Polymer GmbH,TAX000000006,860000006,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
7,PARTY-00007,SUPPLIER,Superior Bio S.A.,TAX000000007,860000007,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
8,PARTY-00008,SUPPLIER,Alpine Polymer Components,TAX000000008,860000008,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
9,PARTY-00009,SUPPLIER,Allied Alloys Corp,TAX000000009,860000009,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
10,PARTY-00010,SUPPLIER,Strategic Thermal Partners,TAX000000010,860000010,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
11,PARTY-00011,SUPPLIER,Dynamic Polymer Components,TAX000000011,860000011,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
12,PARTY-00012,SUPPLIER,Alpine Hydraulic Partners,TAX000000012,860000012,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
13,PARTY-00013,SUPPLIER,Premier Precision Industries,TAX000000013,860000013,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
14,PARTY-00014,SUPPLIER,Advanced Precision Components,TAX000000014,860000014,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
15,PARTY-00015,SUPPLIER,Summit Bio Engineering,TAX000000015,860000015,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
16,PARTY-00016,SUPPLIER,Allied Alloys Materials,TAX000000016,860000016,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
17,PARTY-00017,SUPPLIER,Premier Chemical Partners,TAX000000017,860000017,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
18,PARTY-00018,SUPPLIER,Precision Bio Manufacturing,TAX000000018,860000018,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
19,PARTY-00019,SUPPLIER,United Hydraulic Manufacturing,TAX000000019,860000019,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
