METRIC_ID,METRIC_DATE,TOTAL_PO_COUNT,MAVERICK_SPEND_AMOUNT,MANAGED_SPEND_AMOUNT,PROCUREMENT_OPEX,REALIZED_SAVINGS,EMERGENCY_PO_COUNT,AVG_CYCLE_TIME_DAYS
1,2024-01-21,546,757921.67,9072231.25,237770.82,612857.65,19,4.99
2,2024-02-20,515,1636960.13,11417188.13,159452.04,528751.18,16,6.87
3,2024-03-21,551,942566.11,10739780.58,189828.66,348334.34,24,7.2
4,2024-04-20,574,1243009.61,11214347.37,202967.79,870901.79,14,5.83
5,2024-05-20,532,783440.06,10711323.48,249099.12,523926.04,25,3.53
6,2024-06-19,546,588927.46,8271990.21,181946.47,524878.42,21,3.71
7,2024-07-19,575,639732.93,9622752.66,211014.76,563633.16,21,6.06
8,2024-08-18,496,1170341.6,10747370.31,166052.76,756806.23,21,7.6
9,2024-09-17,404,1008210.26,9299559.21,163837.19,358915.14,19,5.36
10,2024-10-17,404,1895504.36,11048440.53,218093.97,396720.6,15,6.84
11,2024-11-16,518,1488707.38,10976616.01,183645.92,352757.92,18,7.13
12,2024-12-16,544,1671571.51,11924709.6,197165.79,841839.53,6,7.89
13,2025-01-15,509,1664065.26,11763858.48,157859.96,870080.64,10,3.82
14,2025-02-14,482,1610719.92,10476668.36,191197.73,680672.66,22,5.36
15,2025-03-16,438,792175.8,10710970.96,168320.28,734485.14,15,6.82
16,2025-04-15,454,833429.32,9589520.41,222862.33,297472.48,19,6.49
17,2025-05-15,428,1808630.27,11164097.9,182388.76,651118.77,16,5.23
18,2025-06-14,541,1031290.24,11926145.32,171513.57,936558.54,18,3.62
19,2025-07-14,420,1462303.18,11282743.48,221910.48,490912.28,13,6.83
20,2025-08-13,421,1579704.39,11207478.09,163153.43,807714.78,9,7.52
21,2025-09-12,587,992452.46,8109398.83,234747.91,567008.88,8,3.4
22,2025-10-12,460,1522949.76,11228754.83,242990.65,600265.4,5,6.59
23,2025-11-11,454,992151.46,11575624.04,171991.3,777317.03,16,4.23
24,2025-12-11,483,479340.74,8743373.02,230051.82,296773.65,6,7.69
