PRODUCT_ID,PRODUCT_CODE,PRODUCT_NAME,PRODUCT_DESCRIPTION_SHORT,PRODUCT_DESCRIPTION_LONG,PRODUCT_TYPE,PRODUCT_STATUS,BASE_UNIT_OF_MEASURE_ID,MAKE_BUY_INDICATOR,PRODUCT_CATEGORY_ID,OWNING_ORGANIZATION_ID,VALID_FROM_TIMESTAMP,VALID_TO_TIMESTAMP,IS_CURRENT_FLAG,CREATED_BY_USER,CREATED_TIMESTAMP,UPDATED_BY_USER,UPDATED_TIMESTAMP
1,HYD-000001,Accumulator XL Industrial,Accumulator XL Industrial for industrial applications,Detailed specification for Accumulator XL Industrial. Category: HYDRAULIC. Compliant with industry standards.,MATERIAL,ACTIVE,1,BUY,2,1,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
2,REA-000002,Buffer Solution Small Standard,Buffer Solution Small Standard for industrial applications,Detailed specification for Buffer Solution Small Standard. Category: REAGENT. Compliant with industry standards.,MATERIAL,ACTIVE,1,BUY,5,1,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
3,HYD-000003,Cylinder Assembly Medium,Cylinder Assembly Medium for industrial applications,Detailed specification for Cylinder Assembly Medium. Category: HYDRAULIC. Compliant with industry standards.,MATERIAL,ACTIVE,1,BUY,2,1,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
4,ELE-000004,HMI Panel Large,HMI Panel Large for industrial applications,Detailed specification for HMI Panel Large. Category: ELECTRONIC. Compliant with industry standards.,MATERIAL,ACTIVE,1,BUY,9,1,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
5,POL-000005,PTFE Sheet XL Premium,PTFE Sheet XL Premium for industrial applications,Detailed specification for PTFE Sheet XL Premium. Category: POLYMER. Compliant with industry standards.,MATERIAL,ACTIVE,1,BUY,8,1,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
6,ALL-000006,Copper Sheet Small,Copper Sheet Small for industrial applications,Detailed specification for Copper Sheet Small. Category: ALLOY. Compliant with industry standards.,MATERIAL,ACTIVE,1,BUY,7,1,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
7,POL-000007,Silicone Seal XL Standard,Silicone Seal XL Standard for industrial applications,Detailed specification for Silicone Seal XL Standard. Category: POLYMER. Compliant with industry standards.,MATERIAL,ACTIVE,1,MAKE,8,1,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
8,BIO-000008,Gripper Assembly Large Standard,Gripper Assembly Large Standard for industrial applications,Detailed specification for Gripper Assembly Large Standard. Category: BIOROBOT. Compliant with industry standards.,MATERIAL,ACTIVE,1,MAKE,4,1,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
9,HYD-000009,Cylinder Assembly Large Industrial,Cylinder Assembly Large Industrial for industrial applications,Detailed specification for Cylinder Assembly Large Industrial. Category: HYDRAULIC. Compliant with industry standards.,MATERIAL,ACTIVE,1,BUY,2,1,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
10,POL-000010,PEEK Rod Large Medical-Grade,PEEK Rod Large Medical-Grade for industrial applications,Detailed specification for PEEK Rod Large Medical-Grade. Category: POLYMER. Compliant with industry standards.,MATERIAL,ACTIVE,1,MAKE,8,1,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
11,PRE-000011,Encoder  Medical-Grade,Encoder  Medical-Grade for industrial applications,Detailed specification for Encoder  Medical-Grade. Category: PRECISION. Compliant with industry standards.,MATERIAL,ACTIVE,1,MAKE,6,1,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
12,HYD-000012,Control Valve Large Medical-Grade,Control Valve Large Medical-Grade for industrial applications,Detailed specification for Control Valve Large Medical-Grade. Category: HYDRAULIC. Compliant with industry standards.,MATERIAL,ACTIVE,1,MAKE,2,1,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
13,PNE-000013,Actuator,Actuator for industrial applications,Detailed specification for Actuator. Category: PNEUMATIC. Compliant with industry standards.,MATERIAL,ACTIVE,1,BUY,3,1,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
14,PNE-000014,Actuator Small Premium,Actuator Small Premium for industrial applications,Detailed specification for Actuator Small Premium. Category: PNEUMATIC. Compliant with industry standards.,MATERIAL,ACTIVE,1,BUY,3,1,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
15,HYD-000015,Cylinder Assembly Large Premium,Cylinder Assembly Large Premium for industrial applications,Detailed specification for Cylinder Assembly Large Premium. Category: HYDRAULIC. Compliant with industry standards.,MATERIAL,ACTIVE,1,MAKE,2,1,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
16,ALL-000016,Copper Sheet  Premium,Copper Sheet  Premium for industrial applications,Detailed specification for Copper Sheet  Premium. Category: ALLOY. Compliant with industry standards.,MATERIAL,ACTIVE,1,MAKE,7,1,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
17,ALL-000017,Copper Sheet Medium Medical-Grade,Copper Sheet Medium Medical-Grade for industrial applications,Detailed specification for Copper Sheet Medium Medical-Grade. Category: ALLOY. Compliant with industry standards.,MATERIAL,ACTIVE,1,MAKE,7,1,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
18,ELE-000018,HMI Panel  Premium,HMI Panel  Premium for industrial applications,Detailed specification for HMI Panel  Premium. Category: ELECTRONIC. Compliant with industry standards.,MATERIAL,ACTIVE,1,BUY,9,1,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
19,REA-000019,Culture Medium Medium Industrial,Culture Medium Medium Industrial for industrial applications,Detailed specification for Culture Medium Medium Industrial. Category: REAGENT. Compliant with industry standards.,MATERIAL,ACTIVE,1,BUY,5,1,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
