PRODUCT_COST_ID,PRODUCT_ID,SITE_ID,COST_TYPE,MATERIAL_COST,LABOR_COST,OVERHEAD_COST,TOTAL_COST,CURRENCY_ID,COSTING_METHOD,EFFECTIVE_DATE,VALID_FROM_TIMESTAMP,VALID_TO_TIMESTAMP,IS_CURRENT_FLAG,CREATED_BY_USER,CREATED_TIMESTAMP,UPDATED_BY_USER,UPDATED_TIMESTAMP
1,1,2,STANDARD,1046.24,74.41,46.87,1167.52,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
2,2,5,STANDARD,1255.27,372.2,46.53,1674.0,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
3,3,5,STANDARD,1995.37,240.8,21.05,2257.22,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
4,4,2,STANDARD,580.73,103.42,151.9,836.05,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
5,5,3,STANDARD,1137.42,117.14,52.2,1306.76,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
6,6,8,STANDARD,537.8,53.43,137.67,728.9,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
7,7,3,STANDARD,923.04,81.13,175.97,1180.14,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
8,8,3,STANDARD,243.09,483.26,5.96,732.31,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
9,9,3,STANDARD,945.35,461.4,53.59,1460.34,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
10,10,4,STANDARD,1938.47,487.32,38.35,2464.14,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
11,11,3,STANDARD,850.85,286.06,47.67,1184.58,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
12,12,3,STANDARD,262.04,153.63,61.61,477.28,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
13,13,6,STANDARD,1482.71,448.51,33.93,1965.15,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
14,14,1,STANDARD,380.51,287.0,186.7,854.21,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
15,15,1,STANDARD,401.81,171.11,144.64,717.56,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
16,16,2,STANDARD,485.73,279.33,166.96,932.02,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
17,17,6,STANDARD,686.43,370.44,160.88,1217.75,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
18,18,2,STANDARD,1419.74,344.54,148.58,1912.86,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
19,19,1,STANDARD,1359.77,82.53,124.26,1566.56,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
20,20,2,STANDARD,1574.29,31.72,53.74,1659.75,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
21,21,3,STANDARD,1564.51,325.31,27.85,1917.67,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
22,22,5,STANDARD,1977.39,454.85,109.96,2542.2,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
23,23,5,STANDARD,1196.17,240.66,33.73,1470.56,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
24,24,6,STANDARD,1294.23,485.25,152.79,1932.27,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
25,25,6,STANDARD,507.98,320.96,6.99,835.93,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
26,26,5,STANDARD,803.97,20.24,67.38,891.59,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
27,27,6,STANDARD,1227.04,172.51,190.78,1590.33,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
28,28,7,STANDARD,66.72,252.2,125.36,444.28,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
29,29,8,STANDARD,1229.37,332.79,90.23,1652.39,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
30,30,1,STANDARD,1796.09,340.37,32.58,2169.04,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
31,31,2,STANDARD,561.97,246.21,66.37,874.55,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
32,32,4,STANDARD,472.37,179.75,99.47,751.59,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
33,33,3,STANDARD,749.3,263.4,120.94,1133.64,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
34,34,2,STANDARD,1627.8,430.08,124.72,2182.6,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
35,35,7,STANDARD,616.93,224.52,45.05,886.5,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
36,36,5,STANDARD,1605.93,67.63,100.75,1774.31,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
37,37,7,STANDARD,1378.83,133.66,105.89,1618.38,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
38,38,7,STANDARD,797.29,366.44,145.92,1309.65,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
39,39,8,STANDARD,86.42,371.55,78.85,536.82,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
40,40,3,STANDARD,217.69,459.0,170.48,847.17,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
41,41,3,STANDARD,678.34,259.51,23.21,961.06,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
42,42,3,STANDARD,75.61,296.3,21.5,393.41,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
43,43,1,STANDARD,573.31,364.06,137.83,1075.2,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
44,44,3,STANDARD,1172.04,265.7,162.02,1599.76,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
45,45,3,STANDARD,736.28,281.47,164.64,1182.39,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
46,46,6,STANDARD,191.66,231.44,88.16,511.26,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
47,47,7,STANDARD,1021.95,229.2,184.53,1435.68,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
48,48,6,STANDARD,1954.89,371.08,78.07,2404.04,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
49,49,7,STANDARD,895.78,109.53,179.24,1184.55,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
50,50,8,STANDARD,1244.43,10.74,139.53,1394.7,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
51,51,6,STANDARD,1964.4,254.93,105.09,2324.42,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
52,52,1,STANDARD,1058.58,144.55,28.36,1231.49,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
53,53,8,STANDARD,83.2,337.13,109.74,530.07,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
54,54,8,STANDARD,1946.0,182.44,32.17,2160.61,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
55,55,1,STANDARD,626.98,366.09,77.39,1070.46,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
56,56,3,STANDARD,318.4,286.83,61.59,666.82,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
57,57,4,STANDARD,1477.04,24.76,113.66,1615.46,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
58,58,5,STANDARD,56.27,296.18,59.3,411.75,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
59,59,8,STANDARD,1990.55,288.15,57.01,2335.71,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
60,60,7,STANDARD,1250.51,490.14,174.86,1915.51,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
61,61,7,STANDARD,1095.45,473.37,197.28,1766.1,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
62,62,4,STANDARD,1001.59,494.5,199.89,1695.98,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
63,63,2,STANDARD,67.03,427.78,144.22,639.03,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
64,64,3,STANDARD,991.84,63.92,159.15,1214.91,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
65,65,2,STANDARD,218.69,106.95,56.43,382.07,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
66,66,5,STANDARD,1283.66,300.2,44.66,1628.52,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
67,67,6,STANDARD,1290.06,320.0,21.3,1631.36,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
68,68,8,STANDARD,1920.84,207.69,154.93,2283.46,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
69,69,8,STANDARD,248.45,90.13,146.77,485.35,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
70,70,5,STANDARD,1178.02,421.26,139.55,1738.83,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
71,71,1,STANDARD,364.89,123.38,110.88,599.15,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
72,72,4,STANDARD,1092.39,403.83,68.57,1564.79,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
73,73,8,STANDARD,1431.3,160.47,99.31,1691.08,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
74,74,6,STANDARD,154.09,450.81,71.18,676.08,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
75,75,3,STANDARD,1084.87,248.46,132.45,1465.78,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
76,76,8,STANDARD,1047.13,104.18,48.34,1199.65,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
77,77,4,STANDARD,1100.42,147.77,177.46,1425.65,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
78,78,4,STANDARD,1098.46,69.73,21.55,1189.74,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
79,79,7,STANDARD,722.56,391.76,80.66,1194.98,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
80,80,2,STANDARD,554.92,267.88,199.69,1022.49,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
81,81,3,STANDARD,443.47,149.29,56.62,649.38,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
82,82,7,STANDARD,834.13,191.85,166.28,1192.26,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
83,83,1,STANDARD,1833.1,421.74,27.83,2282.67,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
84,84,2,STANDARD,287.7,498.62,22.76,809.08,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
85,85,1,STANDARD,212.3,278.78,161.87,652.95,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
86,86,3,STANDARD,1155.76,185.64,180.76,1522.16,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
87,87,3,STANDARD,584.57,296.42,61.47,942.46,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
88,88,7,STANDARD,1932.95,477.12,77.47,2487.54,1,STANDARD,2024-01-01,2024-01-01 00:00:00,,True,SYSTEM,2024-01-01 00:00:00,SYSTEM,2024-01-01 00:00:00
