PURCHASE_ORDER_ID,PURCHASE_ORDER_NUMBER,PURCHASE_ORDER_DATE,REVISION_NUMBER,SUPPLIER_ID,SUPPLIER_SITE_ID,BUYER_EMPLOYEE_ID,PURCHASE_ORDER_TYPE,PURCHASE_ORDER_STATUS,CURRENCY_ID,PAYMENT_TERMS,SHIPPING_TERMS,SHIP_TO_SITE_ID,SHIP_TO_LOCATION_ID,BILL_TO_ORGANIZATION_ID,TOTAL_PURCHASE_ORDER_VALUE,VENDOR_REFERENCE_NUMBER,ERP_SOURCE_SYSTEM,VALID_FROM_TIMESTAMP,VALID_TO_TIMESTAMP,IS_CURRENT_FLAG,CREATED_BY_USER,CREATED_TIMESTAMP,UPDATED_BY_USER,UPDATED_TIMESTAMP
1,PO-BAA-00000001,2024-05-25,0,80,,22,BLANKET,OPEN,1,NET45,CIF,6,,1,8429363.12,VR-00000001,BAAN_PLANT_3,2024-05-25 00:00:00,,True,SYSTEM,2024-05-25 00:00:00,SYSTEM,2024-05-25 00:00:00
2,PO-DYN-00000002,2024-08-18,0,11,,69,BLANKET,APPROVED,2,NET60,EXW,6,,7,9384032.45,VR-00000002,DYNAMICS_NAV_2,2024-08-18 00:00:00,,True,SYSTEM,2024-08-18 00:00:00,SYSTEM,2024-08-18 00:00:00
3,PO-BIO-00000003,2023-06-07,0,142,,39,STANDARD,APPROVED,5,NET60,FOB,6,,1,5733590.51,VR-00000003,BIOFLOW_LAB_EU,2023-06-07 00:00:00,,True,SYSTEM,2023-06-07 00:00:00,SYSTEM,2023-06-07 00:00:00
4,PO-SAP-00000004,2023-08-25,0,186,,89,BLANKET,APPROVED,2,NET30,FOB,4,,4,8315422.12,VR-00000004,SAP_INDIA,2023-08-25 00:00:00,,True,SYSTEM,2023-08-25 00:00:00,SYSTEM,2023-08-25 00:00:00
5,PO-ORA-00000005,2023-06-09,0,92,,49,STANDARD,OPEN,3,NET45,DDP,4,,7,6180013.02,VR-00000005,ORACLE_APAC_HQ,2023-06-09 00:00:00,,True,SYSTEM,2023-06-09 00:00:00,SYSTEM,2023-06-09 00:00:00
6,PO-LEG-00000006,2024-03-02,0,112,,74,CONTRACT,OPEN,2,NET30,EXW,1,,3,4380447.78,VR-00000006,LEGACY_AS400_1,2024-03-02 00:00:00,,True,SYSTEM,2024-03-02 00:00:00,SYSTEM,2024-03-02 00:00:00
7,PO-BIO-00000007,2023-06-01,0,101,,42,CONTRACT,OPEN,1,NET30,EXW,8,,4,2544078.48,VR-00000007,BIOFLOW_LAB_ASIA,2023-06-01 00:00:00,,True,SYSTEM,2023-06-01 00:00:00,SYSTEM,2023-06-01 00:00:00
8,PO-BIO-00000008,2023-12-23,0,94,,34,CONTRACT,CANCELLED,3,NET60,CIF,1,,6,4320434.95,VR-00000008,BIOFLOW_LAB_EU,2023-12-23 00:00:00,,True,SYSTEM,2023-12-23 00:00:00,SYSTEM,2023-12-23 00:00:00
9,PO-JDE-00000009,2024-11-15,0,179,,50,CONTRACT,CLOSED,1,NET60,DDP,5,,7,101333.33,VR-00000009,JDE_LEGACY_1,2024-11-15 00:00:00,,True,SYSTEM,2024-11-15 00:00:00,SYSTEM,2024-11-15 00:00:00
10,PO-NET-00000010,2023-01-20,0,28,,85,STANDARD,OPEN,5,NET60,EXW,4,,5,9079628.57,VR-00000010,NETSUITE_SUBSIDIARY_1,2023-01-20 00:00:00,,True,SYSTEM,2023-01-20 00:00:00,SYSTEM,2023-01-20 00:00:00
11,PO-JDE-00000011,2024-09-19,0,174,,53,BLANKET,CLOSED,2,NET45,DDP,3,,2,5305727.32,VR-00000011,JDE_LEGACY_3,2024-09-19 00:00:00,,True,SYSTEM,2024-09-19 00:00:00,SYSTEM,2024-09-19 00:00:00
12,PO-SAP-00000012,2023-07-12,0,200,,50,BLANKET,CANCELLED,2,NET30,CIF,1,,2,2117604.82,VR-00000012,SAP_SPAIN,2023-07-12 00:00:00,,True,SYSTEM,2023-07-12 00:00:00,SYSTEM,2023-07-12 00:00:00
13,PO-CUS-00000013,2023-02-03,0,58,,67,STANDARD,CANCELLED,1,NET60,EXW,5,,1,12884831.7,VR-00000013,CUSTOM_WMS_1,2023-02-03 00:00:00,,True,SYSTEM,2023-02-03 00:00:00,SYSTEM,2023-02-03 00:00:00
14,PO-SAP-00000014,2024-05-27,0,185,,82,BLANKET,OPEN,2,NET60,EXW,7,,6,3101547.92,VR-00000014,SAP_KOREA,2024-05-27 00:00:00,,True,SYSTEM,2024-05-27 00:00:00,SYSTEM,2024-05-27 00:00:00
15,PO-JDE-00000015,2024-09-18,0,131,,64,CONTRACT,OPEN,5,NET60,EXW,1,,2,1727607.4,VR-00000015,JDE_LEGACY_1,2024-09-18 00:00:00,,True,SYSTEM,2024-09-18 00:00:00,SYSTEM,2024-09-18 00:00:00
16,PO-BAA-00000016,2024-08-25,0,56,,34,CONTRACT,CLOSED,5,NET30,EXW,8,,5,9758250.24,VR-00000016,BAAN_PLANT_3,2024-08-25 00:00:00,,True,SYSTEM,2024-08-25 00:00:00,SYSTEM,2024-08-25 00:00:00
17,PO-EPI-00000017,2024-10-09,0,187,,46,STANDARD,APPROVED,2,NET45,FOB,4,,3,9599180.88,VR-00000017,EPICOR_SITE_B,2024-10-09 00:00:00,,True,SYSTEM,2024-10-09 00:00:00,SYSTEM,2024-10-09 00:00:00
