PURCHASE_ORDER_LINE_ID,PURCHASE_ORDER_ID,LINE_NUMBER,PURCHASE_REQUISITION_LINE_ID,PRODUCT_ID,ITEM_DESCRIPTION,SUPPLIER_PART_NUMBER,ORDERED_QUANTITY,ORDERED_UNIT_OF_MEASURE_ID,UNIT_PRICE,EXTENDED_PRICE,NEED_BY_DATE,PROMISED_DELIVERY_DATE,LINE_STATUS,RECEIVED_QUANTITY,INVOICED_QUANTITY,TAX_CODE,TAX_AMOUNT,GENERAL_LEDGER_ACCOUNT_CODE
1,1,1,,42,Product 42,SUP-PART-42,873,1,3755.34,3278411.82,2024-06-26,2024-06-19,CLOSED,873,0,TAX1,262272.95,5000-00
2,1,2,,241,Product 241,SUP-PART-241,195,1,969.04,188962.8,2024-07-10,2024-07-16,CANCELLED,195,0,TAX1,15117.02,5000-00
3,1,3,,394,Product 394,SUP-PART-394,741,1,1252.32,927969.12,2024-08-03,2024-07-30,OPEN,0,741,TAX1,74237.53,5000-00
4,1,4,,49,Product 49,SUP-PART-49,543,1,3333.38,1810025.34,2024-07-04,2024-07-04,CANCELLED,543,543,TAX1,144802.03,5000-00
5,1,5,,166,Product 166,SUP-PART-166,172,1,3149.53,541719.16,2024-06-13,2024-06-17,OPEN,172,172,TAX1,43337.53,5000-00
6,1,6,,102,Product 102,SUP-PART-102,379,1,4438.72,1682274.88,2024-07-05,2024-06-29,RECEIVED,379,379,TAX1,134581.99,5000-00
7,2,1,,395,Product 395,SUP-PART-395,101,1,1251.12,126363.12,2024-11-03,2024-10-28,CLOSED,101,101,TAX1,10109.05,5000-00
8,2,2,,321,Product 321,SUP-PART-321,71,1,308.28,21887.88,2024-09-20,2024-09-24,OPEN,0,0,TAX1,1751.03,5000-00
9,2,3,,286,Product 286,SUP-PART-286,817,1,3226.78,2636279.26,2024-10-15,2024-10-20,CANCELLED,817,0,TAX1,210902.34,5000-00
10,2,4,,194,Product 194,SUP-PART-194,376,1,3624.75,1362906.0,2024-10-03,2024-10-10,OPEN,376,376,TAX1,109032.48,5000-00
11,2,5,,151,Product 151,SUP-PART-151,565,1,3488.22,1970844.3,2024-09-25,2024-09-27,RECEIVED,565,565,TAX1,157667.54,5000-00
12,2,6,,240,Product 240,SUP-PART-240,291,1,4339.63,1262832.33,2024-11-16,2024-11-23,RECEIVED,0,0,TAX1,101026.59,5000-00
13,2,7,,152,Product 152,SUP-PART-152,849,1,1324.11,1124169.39,2024-10-17,2024-10-17,OPEN,849,849,TAX1,89933.55,5000-00
14,2,8,,376,Product 376,SUP-PART-376,199,1,4415.83,878750.17,2024-10-17,2024-10-22,RECEIVED,199,0,TAX1,70300.01,5000-00
15,3,1,,57,Product 57,SUP-PART-57,108,1,2620.77,283043.16,2023-06-29,2023-06-22,RECEIVED,0,0,TAX1,22643.45,5000-00
16,3,2,,55,Product 55,SUP-PART-55,507,1,966.17,489848.19,2023-06-25,2023-06-27,CANCELLED,507,507,TAX1,39187.86,5000-00
17,3,3,,360,Product 360,SUP-PART-360,614,1,1287.13,790297.82,2023-08-06,2023-08-02,OPEN,0,614,TAX1,63223.83,5000-00
18,3,4,,336,Product 336,SUP-PART-336,513,1,4642.73,2381720.49,2023-07-01,2023-07-01,OPEN,513,513,TAX1,190537.64,5000-00
19,3,5,,456,Product 456,SUP-PART-456,435,1,4111.91,1788680.85,2023-06-28,2023-07-04,CLOSED,435,435,TAX1,143094.47,5000-00
20,4,1,,292,Product 292,SUP-PART-292,650,1,4738.04,3079726.0,2023-11-18,2023-11-22,CANCELLED,650,650,TAX1,246378.08,5000-00
21,4,2,,296,Product 296,SUP-PART-296,376,1,3375.72,1269270.72,2023-11-01,2023-11-08,OPEN,0,0,TAX1,101541.66,5000-00
