EMISSION_SCOPED_ID,RECORD_DATE,SUPPLIER_ID,SCOPE_TYPE,EMISSION_QUANTITY_MT,EMISSION_SOURCE
1,2024-01-21,1,SCOPE_1,7.3021,Fugitive emissions
2,2024-01-21,1,SCOPE_2,11.317,Purchased electricity
3,2024-01-21,1,SCOPE_3,90.7455,Supplier manufacturing
4,2024-02-20,1,SCOPE_1,23.263,Company vehicles
5,2024-02-20,1,SCOPE_2,28.1066,Purchased electricity
6,2024-02-20,1,SCOPE_3,121.9759,End-of-life
7,2024-03-21,1,SCOPE_1,21.2063,Company vehicles
8,2024-03-21,1,SCOPE_2,22.3102,Purchased cooling
9,2024-03-21,1,SCOPE_3,194.2039,Transportation
10,2024-04-20,1,SCOPE_1,7.3949,Direct combustion
11,2024-04-20,1,SCOPE_2,11.887,Purchased cooling
12,2024-04-20,1,SCOPE_3,261.0227,Product use
13,2024-05-20,1,SCOPE_1,7.9229,Company vehicles
14,2024-05-20,1,SCOPE_2,49.8689,Purchased electricity
15,2024-05-20,1,SCOPE_3,153.1468,Product use
16,2024-06-19,1,SCOPE_1,17.2237,Fugitive emissions
17,2024-06-19,1,SCOPE_2,39.112,Purchased electricity
18,2024-06-19,1,SCOPE_3,125.4373,Transportation
19,2024-07-19,1,SCOPE_1,28.4233,Company vehicles
20,2024-07-19,1,SCOPE_2,25.4133,Purchased steam
21,2024-07-19,1,SCOPE_3,269.896,Transportation
22,2024-08-18,1,SCOPE_1,12.8865,Fugitive emissions
23,2024-08-18,1,SCOPE_2,14.5443,Purchased electricity
24,2024-08-18,1,SCOPE_3,60.0589,End-of-life
25,2024-09-17,1,SCOPE_1,23.1491,Company vehicles
26,2024-09-17,1,SCOPE_2,49.8635,Purchased cooling
27,2024-09-17,1,SCOPE_3,139.2886,Product use
28,2024-10-17,1,SCOPE_1,6.8283,Company vehicles
29,2024-10-17,1,SCOPE_2,42.8623,Purchased steam
30,2024-10-17,1,SCOPE_3,141.9662,Supplier manufacturing
31,2024-11-16,1,SCOPE_1,20.6537,Direct combustion
32,2024-11-16,1,SCOPE_2,12.8331,Purchased electricity
33,2024-11-16,1,SCOPE_3,260.6888,Product use
34,2024-12-16,1,SCOPE_1,24.1216,Fugitive emissions
35,2024-12-16,1,SCOPE_2,11.5676,Purchased electricity
36,2024-12-16,1,SCOPE_3,81.4655,Transportation
37,2025-01-15,1,SCOPE_1,25.9913,Fugitive emissions
38,2025-01-15,1,SCOPE_2,36.8924,Purchased cooling
39,2025-01-15,1,SCOPE_3,161.9491,Product use
40,2025-02-14,1,SCOPE_1,14.8249,Company vehicles
41,2025-02-14,1,SCOPE_2,47.5629,Purchased electricity
42,2025-02-14,1,SCOPE_3,236.3058,Supplier manufacturing
43,2025-03-16,1,SCOPE_1,24.6044,Company vehicles
44,2025-03-16,1,SCOPE_2,20.2252,Purchased steam
45,2025-03-16,1,SCOPE_3,261.4492,Transportation
46,2025-04-15,1,SCOPE_1,15.5509,Direct combustion
47,2025-04-15,1,SCOPE_2,33.986,Purchased steam
48,2025-04-15,1,SCOPE_3,232.3839,End-of-life
49,2025-05-15,1,SCOPE_1,28.7938,Company vehicles
50,2025-05-15,1,SCOPE_2,15.6502,Purchased electricity
51,2025-05-15,1,SCOPE_3,244.2664,Transportation
52,2025-06-14,1,SCOPE_1,29.0447,Direct combustion
53,2025-06-14,1,SCOPE_2,20.9752,Purchased steam
54,2025-06-14,1,SCOPE_3,152.3257,End-of-life
55,2025-07-14,1,SCOPE_1,25.0951,Fugitive emissions
56,2025-07-14,1,SCOPE_2,22.362,Purchased steam
57,2025-07-14,1,SCOPE_3,224.9205,Supplier manufacturing
58,2025-08-13,1,SCOPE_1,28.048,Direct combustion
59,2025-08-13,1,SCOPE_2,14.4802,Purchased cooling
60,2025-08-13,1,SCOPE_3,275.6539,Transportation
61,2025-09-12,1,SCOPE_1,19.0443,Direct combustion
62,2025-09-12,1,SCOPE_2,23.4672,Purchased electricity
63,2025-09-12,1,SCOPE_3,209.6301,Supplier manufacturing
64,2025-10-12,1,SCOPE_1,5.1311,Company vehicles
65,2025-10-12,1,SCOPE_2,10.7378,Purchased electricity
66,2025-10-12,1,SCOPE_3,265.8391,Supplier manufacturing
67,2025-11-11,1,SCOPE_1,22.1823,Fugitive emissions
68,2025-11-11,1,SCOPE_2,10.9738,Purchased cooling
69,2025-11-11,1,SCOPE_3,128.1542,Transportation
70,2025-12-11,1,SCOPE_1,8.9498,Direct combustion
71,2025-12-11,1,SCOPE_2,41.4681,Purchased cooling
72,2025-12-11,1,SCOPE_3,299.2908,End-of-life
73,2024-01-21,2,SCOPE_1,8.2545,Company vehicles
74,2024-01-21,2,SCOPE_2,18.2803,Purchased steam
75,2024-01-21,2,SCOPE_3,151.7853,Product use
76,2024-02-20,2,SCOPE_1,8.4568,Company vehicles
77,2024-02-20,2,SCOPE_2,23.0858,Purchased cooling
78,2024-02-20,2,SCOPE_3,96.8693,Product use
79,2024-03-21,2,SCOPE_1,17.013,Direct combustion
80,2024-03-21,2,SCOPE_2,18.182,Purchased steam
81,2024-03-21,2,SCOPE_3,194.9489,Transportation
82,2024-04-20,2,SCOPE_1,5.4817,Direct combustion
83,2024-04-20,2,SCOPE_2,13.7555,Purchased steam
84,2024-04-20,2,SCOPE_3,61.8091,Supplier manufacturing
85,2024-05-20,2,SCOPE_1,13.0513,Fugitive emissions
86,2024-05-20,2,SCOPE_2,34.7674,Purchased electricity
87,2024-05-20,2,SCOPE_3,182.0749,Product use
88,2024-06-19,2,SCOPE_1,26.6254,Company vehicles
