SUPPLIER_ID,SUPPLIER_CODE,PARTY_ID,SUPPLIER_STATUS,SUPPLIER_TYPE,SUPPLIER_CLASS,APPROVAL_DATE,PRIMARY_CONTACT_PERSON_ID,PAYMENT_TERMS,CURRENCY_ID,TAX_IDENTIFICATION_NUMBER,DUNS_NUMBER,CERTIFICATION_STATUS,VALID_FROM_TIMESTAMP,VALID_TO_TIMESTAMP,IS_CURRENT_FLAG,CREATED_BY_USER,CREATED_TIMESTAMP,UPDATED_BY_USER,UPDATED_TIMESTAMP
1,SUP-00001,1,ACTIVE,APPROVED,B,2020-04-14,,NET45,2,TAX000000001,860000001,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
2,SUP-00002,2,ACTIVE,STANDARD,C,2021-07-19,,NET30,5,TAX000000002,860000002,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
3,SUP-00003,3,ACTIVE,APPROVED,A,2020-10-11,,NET45,1,TAX000000003,860000003,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
4,SUP-00004,4,ACTIVE,APPROVED,C,2020-06-16,,NET30,2,TAX000000004,860000004,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
5,SUP-00005,5,ACTIVE,PREFERRED,A,2020-03-08,,NET60,5,TAX000000005,860000005,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
6,SUP-00006,6,ACTIVE,PREFERRED,B,2022-02-03,,NET45,2,TAX000000006,860000006,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
7,SUP-00007,7,ACTIVE,STRATEGIC,A,2022-03-22,,NET30,2,TAX000000007,860000007,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
8,SUP-00008,8,ACTIVE,APPROVED,C,2022-02-26,,NET30,1,TAX000000008,860000008,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
9,SUP-00009,9,ACTIVE,PREFERRED,C,2020-06-05,,NET30,3,TAX000000009,860000009,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
10,SUP-00010,10,ACTIVE,STRATEGIC,A,2020-02-29,,NET60,3,TAX000000010,860000010,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
11,SUP-00011,11,ACTIVE,PREFERRED,A,2021-06-24,,2/10NET30,2,TAX000000011,860000011,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
12,SUP-00012,12,ACTIVE,APPROVED,B,2020-08-18,,2/10NET30,1,TAX000000012,860000012,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
13,SUP-00013,13,ACTIVE,STRATEGIC,C,2022-07-16,,NET30,2,TAX000000013,860000013,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
14,SUP-00014,14,ACTIVE,PREFERRED,C,2022-03-14,,NET45,5,TAX000000014,860000014,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
15,SUP-00015,15,ACTIVE,STANDARD,B,2021-02-16,,NET30,1,TAX000000015,860000015,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
16,SUP-00016,16,ACTIVE,STANDARD,A,2022-06-14,,NET60,5,TAX000000016,860000016,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
17,SUP-00017,17,ACTIVE,STRATEGIC,A,2021-05-07,,NET45,5,TAX000000017,860000017,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
18,SUP-00018,18,ACTIVE,STANDARD,B,2020-07-13,,2/10NET30,5,TAX000000018,860000018,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
19,SUP-00019,19,ACTIVE,STANDARD,C,2022-05-21,,NET45,1,TAX000000019,860000019,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
20,SUP-00020,20,ACTIVE,STRATEGIC,C,2022-08-15,,NET30,5,TAX000000020,860000020,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
21,SUP-00021,21,ACTIVE,APPROVED,B,2021-04-14,,NET60,1,TAX000000021,860000021,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
22,SUP-00022,22,ACTIVE,APPROVED,A,2020-06-10,,NET45,3,TAX000000022,860000022,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
23,SUP-00023,23,ACTIVE,STRATEGIC,A,2022-01-30,,NET60,1,TAX000000023,860000023,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
24,SUP-00024,24,ACTIVE,APPROVED,C,2020-04-04,,2/10NET30,3,TAX000000024,860000024,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
25,SUP-00025,25,ACTIVE,PREFERRED,C,2020-04-24,,2/10NET30,5,TAX000000025,860000025,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
26,SUP-00026,26,ACTIVE,PREFERRED,B,2021-01-08,,NET45,1,TAX000000026,860000026,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
27,SUP-00027,27,ACTIVE,STANDARD,C,2022-09-26,,NET45,2,TAX000000027,860000027,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
