SUPPLIER_DIVERSITY_ID,SUPPLIER_ID,IS_MINORITY_OWNED,IS_WOMEN_OWNED,IS_VETERAN_OWNED,IS_SMALL_BUSINESS,DIVERSITY_CERTIFICATION
1,1,False,False,False,False,
2,2,False,False,False,False,
3,3,True,True,False,False,MBE
4,4,False,False,False,True,
5,5,False,False,False,False,
6,6,False,False,False,False,
7,7,True,False,False,True,NMSDC
8,8,False,True,False,False,WBE
9,9,False,False,False,False,
10,10,False,False,False,False,
11,11,False,False,False,False,
12,12,False,False,False,False,
13,13,False,True,False,False,WBE
14,14,False,False,False,False,
15,15,True,False,False,False,NMSDC
16,16,False,False,False,False,
17,17,True,False,False,True,MBE
18,18,False,False,False,False,
19,19,False,False,False,False,
20,20,False,False,False,True,
21,21,False,False,False,False,
22,22,False,False,False,False,
23,23,False,False,False,False,
24,24,True,False,False,False,SBA 8(a)
25,25,True,False,False,False,NMSDC
26,26,False,True,False,True,WBENC
27,27,False,False,False,False,
28,28,False,False,False,True,
29,29,False,False,False,False,
30,30,False,False,False,False,
31,31,False,False,False,False,
32,32,False,False,False,True,HUBZone
33,33,False,False,False,False,
34,34,False,False,False,False,
35,35,False,False,False,False,
36,36,False,False,True,False,SDVOSB
37,37,False,True,False,False,WBENC
38,38,False,False,False,False,
39,39,False,False,False,True,
40,40,False,False,False,False,
41,41,True,False,False,False,SBA 8(a)
42,42,False,False,False,False,
43,43,False,False,False,False,
44,44,False,False,False,False,
45,45,False,False,False,False,
46,46,False,False,False,False,
47,47,False,False,False,False,
48,48,False,False,False,False,
49,49,False,True,False,False,WBENC
50,50,False,False,False,True,
51,51,False,False,False,False,
52,52,False,False,False,False,
53,53,False,False,False,True,SDB
54,54,False,False,False,True,
55,55,False,False,False,False,
56,56,False,False,False,False,
57,57,False,False,True,False,SDVOSB
58,58,False,False,False,False,
59,59,False,False,False,False,
60,60,False,False,False,False,
61,61,False,False,True,False,SDVOSB
62,62,True,False,False,False,SBA 8(a)
63,63,True,False,False,False,SBA 8(a)
64,64,False,False,False,False,
65,65,False,True,False,True,WBENC
66,66,False,False,False,False,
67,67,False,False,False,False,
68,68,False,False,False,False,
69,69,False,False,False,False,
70,70,False,True,False,False,WBENC
71,71,False,False,False,True,SDB
72,72,True,False,False,False,NMSDC
73,73,False,False,True,False,SDVOSB
74,74,False,False,False,False,
75,75,False,False,False,False,
76,76,False,False,False,False,
77,77,False,False,False,False,
78,78,False,True,False,False,WBE
79,79,False,False,False,True,HUBZone
80,80,False,False,False,False,
81,81,False,False,False,True,SDB
82,82,False,True,False,True,WBE
83,83,False,False,False,False,
84,84,False,False,False,False,
85,85,False,True,False,False,WBE
86,86,False,False,False,False,
87,87,True,False,False,False,NMSDC
88,88,False,False,False,False,
89,89,False,False,False,False,
90,90,False,False,False,False,
91,91,False,False,False,False,
92,92,False,False,False,True,
93,93,False,False,False,False,
94,94,False,False,False,True,SDB
95,95,False,False,False,False,
96,96,False,False,False,False,
97,97,False,False,False,True,
98,98,False,False,False,False,
99,99,True,False,False,False,MBE
100,100,False,False,False,False,
101,101,False,False,False,False,
102,102,False,True,False,False,WBE
103,103,False,True,False,True,WBE
104,104,False,False,False,True,HUBZone
105,105,False,False,False,False,
106,106,False,False,False,False,
107,107,False,False,False,True,
108,108,False,False,False,False,
109,109,True,False,False,False,MBE
110,110,False,False,False,True,SDB
111,111,False,False,False,False,
112,112,False,False,False,False,
113,113,False,False,False,True,SDB
114,114,True,False,False,False,NMSDC
115,115,True,False,False,False,NMSDC
116,116,False,True,False,False,WBENC
117,117,False,False,False,False,
118,118,False,False,False,True,SDB
119,119,True,False,False,True,NMSDC
120,120,False,False,False,False,
121,121,False,False,False,False,
122,122,False,True,False,False,WBENC
123,123,False,False,False,True,SDB
124,124,False,True,False,False,WBE
125,125,True,False,False,False,SBA 8(a)
126,126,False,False,False,False,
127,127,False,False,False,False,
128,128,False,False,False,False,
129,129,False,False,False,True,SDB
130,130,False,False,False,False,
131,131,False,False,False,False,
132,132,False,False,False,True,
133,133,False,False,True,False,SDVOSB
134,134,False,False,False,True,SDB
135,135,False,False,True,False,SDVOSB
136,136,True,False,False,False,SBA 8(a)
137,137,False,False,False,False,
138,138,False,False,False,False,
139,139,False,False,False,True,SDB
140,140,False,False,False,False,
141,141,False,False,False,False,
142,142,False,False,False,False,
143,143,False,False,False,True,
144,144,False,False,False,False,
145,145,True,False,False,False,MBE
146,146,False,True,False,False,WBE
147,147,False,True,False,True,WBE
148,148,False,False,False,False,
149,149,False,False,False,False,
150,150,False,False,False,False,
151,151,False,False,False,True,
152,152,False,False,False,False,
153,153,False,False,False,False,
154,154,False,False,False,False,
155,155,False,False,True,False,SDVOSB
156,156,False,False,False,True,HUBZone
157,157,False,False,False,False,
158,158,False,False,False,False,
159,159,True,False,False,True,MBE
160,160,True,True,False,False,NMSDC
161,161,False,False,False,True,SDB
162,162,False,False,False,False,
163,163,False,False,False,False,
164,164,False,False,False,False,
165,165,False,False,False,False,
166,166,True,False,False,False,MBE
167,167,False,False,False,False,
168,168,False,False,True,True,SDVOSB
169,169,False,False,False,False,
170,170,False,False,False,False,
171,171,True,False,False,False,SBA 8(a)
172,172,True,False,False,False,SBA 8(a)
173,173,False,True,False,True,WBE
174,174,False,False,False,False,
175,175,False,False,False,False,
176,176,False,False,False,False,
177,177,False,True,False,False,WBE
178,178,False,False,False,False,
179,179,False,False,False,False,
180,180,False,False,False,False,
181,181,True,False,False,False,SBA 8(a)
182,182,False,False,False,False,
183,183,False,False,False,False,
184,184,False,False,False,True,
185,185,True,False,False,False,NMSDC
186,186,True,False,False,False,SBA 8(a)
187,187,False,False,False,True,HUBZone
188,188,True,False,False,False,MBE
189,189,False,False,False,False,
190,190,True,False,False,False,MBE
191,191,False,False,False,False,
192,192,False,False,False,True,HUBZone
193,193,False,False,False,False,
194,194,True,False,False,True,MBE
195,195,False,False,False,False,
196,196,False,False,False,False,
197,197,False,False,False,False,
198,198,False,False,False,False,
199,199,False,False,False,False,
200,200,True,False,False,False,SBA 8(a)
