DOCUMENT_ID,SUPPLIER_ID,DOCUMENT_TYPE,DOCUMENT_TITLE,DOCUMENT_CONTENT,DOCUMENT_SUMMARY,EFFECTIVE_DATE,EXPIRATION_DATE,DOCUMENT_STATUS,FILE_PATH,FILE_SIZE_BYTES,CREATED_BY_USER,CREATED_TIMESTAMP,UPDATED_BY_USER,UPDATED_TIMESTAMP
1,1,REGULATORY,Regulatory Compliance Certificate - Alpine Hydraulic AG,"REGULATORY COMPLIANCE CERTIFICATE

Certificate Number: CERT-811530
Issued To: Alpine Hydraulic AG
Effective Date: 2023-03-14
Expiration Date: 2025-02-23

CERTIFICATIONS HELD:
- ISO 9001:2015 Quality Management: N/A
- ISO 14001:2015 Environmental Management: Certified
- ISO 13485:2016 Medical Devices: N/A
- FDA Registration Number: FDA-8385036
- CE Marking: Pending

COMPLIANCE STATUS:
- GMP Compliance: Conditional
- REACH Compliance: Compliant
- RoHS Compliance: Exempt
- Conflict Minerals: Compliant

RECENT INSPECTIONS:
Last FDA Inspection: 2022-10-06
Inspection Result: VAI
Form 483 Observations: 2

WARNING LETTERS:
No warning letters on file

This certificate confirms that Alpine Hydraulic AG maintains compliance with 
applicable regulatory requirements for the supply of reagents.","Regulatory compliance status for Alpine Hydraulic AG including FDA, ISO, and GMP certifications.",2023-03-14,2025-02-23,ACTIVE,/documents/regulatory/1/1.pdf,327491,SYSTEM,2023-03-14 00:00:00,SYSTEM,2023-03-14 00:00:00
2,2,COMPLIANCE,Regulatory Compliance Certificate - Premier Bio Systems,"REGULATORY COMPLIANCE CERTIFICATE

Certificate Number: CERT-476875
Issued To: Premier Bio Systems
Effective Date: 2023-06-16
Expiration Date: 2026-06-12

CERTIFICATIONS HELD:
- ISO 9001:2015 Quality Management: Pending
- ISO 14001:2015 Environmental Management: N/A
- ISO 13485:2016 Medical Devices: Certified
- FDA Registration Number: N/A
- CE Marking: Certified

COMPLIANCE STATUS:
- GMP Compliance: Compliant
- REACH Compliance: N/A
- RoHS Compliance: Exempt
- Conflict Minerals: In Progress

RECENT INSPECTIONS:
Last FDA Inspection: 2023-04-25
Inspection Result: NAI
Form 483 Observations: 3

WARNING LETTERS:
No warning letters on file

This certificate confirms that Premier Bio Systems maintains compliance with 
applicable regulatory requirements for the supply of precision components.","Regulatory compliance status for Premier Bio Systems including FDA, ISO, and GMP certifications.",2023-06-16,2026-06-12,ACTIVE,/documents/compliance/2/2.pdf,343850,SYSTEM,2023-06-16 00:00:00,SYSTEM,2023-06-16 00:00:00
3,2,AUDIT,Quality Audit Report - Premier Bio Systems,"SUPPLIER QUALITY AUDIT REPORT

Supplier: Premier Bio Systems
Audit Date: 2023-01-05
Audit Type: For-Cause
Auditor: Auditor-48

EXECUTIVE SUMMARY:
Overall Rating: C
Previous Rating: C

FINDINGS:

1. Quality Management System
   - ISO 9001 Certification: Certified
   - Document Control: Good
   - Corrective Action Process: Good

2. Manufacturing Process
   - Process Capability: Cpk: 1.76
   - Equipment Calibration: Past Due
   - Statistical Process Control: Full

3. Supply Chain
   - Sub-supplier Management: Good
   - Traceability: Partial
   - Inventory Management: Good

4. Environmental & Safety
   - Environmental Compliance: Non-Compliant
   - Safety Record: 3 incidents in past year
   - Waste Management: Excellent

CORRECTIVE ACTIONS REQUIRED:
- Item 1: None required

NEXT AUDIT SCHEDULED: 2024-01-05","Quality audit findings for Premier Bio Systems covering QMS, manufacturing, and compliance.",2023-01-05,2025-05-16,ACTIVE,/documents/audit/2/3.pdf,89771,SYSTEM,2023-01-05 00:00:00,SYSTEM,2023-01-05 00:00:00
4,3,CONTRACT,Master Supply Agreement - United Composite Ltd,"MASTER SUPPLY AGREEMENT

This Agreement is entered into between Snowcore Industries (""Buyer"") and United Composite Ltd (""Supplier"").

1. TERM: This agreement shall be effective for a period of 3 years from 2023-12-27.

2. PRICING: 
   - Base unit price: $2999.53 per unit
   - Annual price adjustment: Maximum 8% based on commodity index
   - Volume discounts: 11% for orders exceeding 6266 units

3. PAYMENT TERMS: Net 60 days from invoice date

4. DELIVERY: 
   - Lead time: 42 days from PO receipt
   - Delivery terms: FOB
   - On-time delivery target: 92%

5. QUALITY:
   - Acceptance rate target: 99%
   - Inspection requirements: Both
   - Warranty period: 35 months

6. INDEMNIFICATION:
   Supplier shall indemnify Buyer against all claims arising from:
   - Product defects
   - Intellectual property infringement
   - Regulatory non-compliance
   - Environmental violations

7. FORCE MAJEURE:
   Neither party shall be liable for delays caused by events beyond reasonable control,
   including but not limited to: natural disasters, war, pandemic, government actions.

8. TERMINATION:
   Either party may terminate with 70 days written notice.
   Immediate termination permitted for material breach.

Signed: _______________ Date: _______________","Supply agreement with United Composite Ltd covering pricing, delivery, quality, and indemnification terms.",2023-12-27,2026-08-27,ACTIVE,/documents/contract/3/4.pdf,157939,SYSTEM,2023-12-27 00:00:00,SYSTEM,2023-12-27 00:00:00
5,4,COMPLIANCE,Regulatory Compliance Certificate - Apex Composite Ltd,"REGULATORY COMPLIANCE CERTIFICATE

Certificate Number: CERT-209270
Issued To: Apex Composite Ltd
Effective Date: 2023-10-18
Expiration Date: 2026-06-01

CERTIFICATIONS HELD:
- ISO 9001:2015 Quality Management: Certified
- ISO 14001:2015 Environmental Management: Certified
- ISO 13485:2016 Medical Devices: Certified
- FDA Registration Number: FDA-3452668
- CE Marking: Pending

COMPLIANCE STATUS:
- GMP Compliance: Non-Compliant
- REACH Compliance: Pending
- RoHS Compliance: N/A
- Conflict Minerals: In Progress

RECENT INSPECTIONS:
Last FDA Inspection: 2022-12-16
Inspection Result: VAI
Form 483 Observations: 2

WARNING LETTERS:
No warning letters on file

This certificate confirms that Apex Composite Ltd maintains compliance with 
applicable regulatory requirements for the supply of medical devices.","Regulatory compliance status for Apex Composite Ltd including FDA, ISO, and GMP certifications.",2023-10-18,2026-06-01,ACTIVE,/documents/compliance/4/5.pdf,427484,SYSTEM,2023-10-18 00:00:00,SYSTEM,2023-10-18 00:00:00
6,5,COMPLIANCE,Regulatory Compliance Certificate - Apex Bio Supply,"REGULATORY COMPLIANCE CERTIFICATE

Certificate Number: CERT-320549
Issued To: Apex Bio Supply
Effective Date: 2023-05-01
Expiration Date: 2024-07-12

CERTIFICATIONS HELD:
- ISO 9001:2015 Quality Management: Certified
- ISO 14001:2015 Environmental Management: Pending
- ISO 13485:2016 Medical Devices: Certified
- FDA Registration Number: FDA-3643089
- CE Marking: Pending

COMPLIANCE STATUS:
- GMP Compliance: Compliant
- REACH Compliance: N/A
- RoHS Compliance: Compliant
- Conflict Minerals: Compliant

RECENT INSPECTIONS:
Last FDA Inspection: 2022-05-29
Inspection Result: No Observations
Form 483 Observations: 4

WARNING LETTERS:
No warning letters on file

This certificate confirms that Apex Bio Supply maintains compliance with 
applicable regulatory requirements for the supply of reagents.","Regulatory compliance status for Apex Bio Supply including FDA, ISO, and GMP certifications.",2023-05-01,2024-07-12,ACTIVE,/documents/compliance/5/6.pdf,121124,SYSTEM,2023-05-01 00:00:00,SYSTEM,2023-05-01 00:00:00
7,5,COMPLIANCE,Regulatory Compliance Certificate - Apex Bio Supply,"REGULATORY COMPLIANCE CERTIFICATE

Certificate Number: CERT-198851
Issued To: Apex Bio Supply
Effective Date: 2023-08-02
Expiration Date: 2024-08-10

CERTIFICATIONS HELD:
- ISO 9001:2015 Quality Management: N/A
- ISO 14001:2015 Environmental Management: Pending
- ISO 13485:2016 Medical Devices: N/A
- FDA Registration Number: FDA-5909096
- CE Marking: Pending

COMPLIANCE STATUS:
- GMP Compliance: Non-Compliant
- REACH Compliance: N/A
- RoHS Compliance: Exempt
- Conflict Minerals: Compliant

RECENT INSPECTIONS:
Last FDA Inspection: 2022-08-03
Inspection Result: No Observations
Form 483 Observations: 0

WARNING LETTERS:
No warning letters on file

This certificate confirms that Apex Bio Supply maintains compliance with 
applicable regulatory requirements for the supply of medical devices.","Regulatory compliance status for Apex Bio Supply including FDA, ISO, and GMP certifications.",2023-08-02,2024-08-10,ACTIVE,/documents/compliance/5/7.pdf,106581,SYSTEM,2023-08-02 00:00:00,SYSTEM,2023-08-02 00:00:00
8,6,COMPLIANCE,Regulatory Compliance Certificate - Precision Polymer GmbH,"REGULATORY COMPLIANCE CERTIFICATE

Certificate Number: CERT-846005
Issued To: Precision Polymer GmbH
Effective Date: 2023-02-08
Expiration Date: 2024-05-19

CERTIFICATIONS HELD:
- ISO 9001:2015 Quality Management: Pending
- ISO 14001:2015 Environmental Management: N/A
- ISO 13485:2016 Medical Devices: Pending
- FDA Registration Number: N/A
- CE Marking: Pending

COMPLIANCE STATUS:
- GMP Compliance: Non-Compliant
- REACH Compliance: Compliant
- RoHS Compliance: N/A
- Conflict Minerals: In Progress

RECENT INSPECTIONS:
Last FDA Inspection: 2022-02-23
Inspection Result: NAI
Form 483 Observations: 1

WARNING LETTERS:
No warning letters on file

This certificate confirms that Precision Polymer GmbH maintains compliance with 
applicable regulatory requirements for the supply of reagents.","Regulatory compliance status for Precision Polymer GmbH including FDA, ISO, and GMP certifications.",2023-02-08,2024-05-19,ACTIVE,/documents/compliance/6/8.pdf,347711,SYSTEM,2023-02-08 00:00:00,SYSTEM,2023-02-08 00:00:00
9,6,REGULATORY,Regulatory Compliance Certificate - Precision Polymer GmbH,"REGULATORY COMPLIANCE CERTIFICATE

Certificate Number: CERT-477807
Issued To: Precision Polymer GmbH
Effective Date: 2023-10-06
Expiration Date: 2026-06-18

CERTIFICATIONS HELD:
- ISO 9001:2015 Quality Management: Certified
- ISO 14001:2015 Environmental Management: N/A
- ISO 13485:2016 Medical Devices: Pending
- FDA Registration Number: N/A
- CE Marking: Pending

COMPLIANCE STATUS:
- GMP Compliance: Compliant
- REACH Compliance: Compliant
- RoHS Compliance: N/A
- Conflict Minerals: N/A

RECENT INSPECTIONS:
Last FDA Inspection: 2023-06-18
Inspection Result: No Observations
Form 483 Observations: 3

WARNING LETTERS:
No warning letters on file

This certificate confirms that Precision Polymer GmbH maintains compliance with 
applicable regulatory requirements for the supply of medical devices.","Regulatory compliance status for Precision Polymer GmbH including FDA, ISO, and GMP certifications.",2023-10-06,2026-06-18,ACTIVE,/documents/regulatory/6/9.pdf,366190,SYSTEM,2023-10-06 00:00:00,SYSTEM,2023-10-06 00:00:00
10,7,COMPLIANCE,Regulatory Compliance Certificate - Superior Bio S.A.,"REGULATORY COMPLIANCE CERTIFICATE

Certificate Number: CERT-356509
Issued To: Superior Bio S.A.
Effective Date: 2023-08-31
Expiration Date: 2026-04-11

CERTIFICATIONS HELD:
- ISO 9001:2015 Quality Management: N/A
- ISO 14001:2015 Environmental Management: N/A
- ISO 13485:2016 Medical Devices: Certified
- FDA Registration Number: N/A
- CE Marking: Certified

COMPLIANCE STATUS:
- GMP Compliance: Conditional
- REACH Compliance: Pending
- RoHS Compliance: Exempt
- Conflict Minerals: In Progress

RECENT INSPECTIONS:
Last FDA Inspection: 2022-11-06
Inspection Result: No Observations
Form 483 Observations: 2

WARNING LETTERS:
No warning letters on file

This certificate confirms that Superior Bio S.A. maintains compliance with 
applicable regulatory requirements for the supply of precision components.","Regulatory compliance status for Superior Bio S.A. including FDA, ISO, and GMP certifications.",2023-08-31,2026-04-11,ACTIVE,/documents/compliance/7/10.pdf,251799,SYSTEM,2023-08-31 00:00:00,SYSTEM,2023-08-31 00:00:00
