SUPPLIER_PERFORMANCE_ID,SUPPLIER_ID,EVALUATION_PERIOD,METRIC_TYPE,METRIC_VALUE,TARGET_VALUE,RATING,COMMENTS,CREATED_BY_USER,CREATED_TIMESTAMP,UPDATED_BY_USER,UPDATED_TIMESTAMP
1,1,2024-Q4,ON_TIME_DELIVERY,85.06,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
2,1,2024-Q4,QUALITY_ACCEPTANCE,92.96,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
3,1,2024-Q4,PRICE_VARIANCE,-3.78,0,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
4,1,2024-Q4,LEAD_TIME_ADHERENCE,73.3,95,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
5,1,2024-Q4,OVERALL_SCORE,74.92,95,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
6,2,2024-Q4,ON_TIME_DELIVERY,89.17,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
7,2,2024-Q4,QUALITY_ACCEPTANCE,85.28,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
8,2,2024-Q4,PRICE_VARIANCE,8.23,0,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
9,2,2024-Q4,LEAD_TIME_ADHERENCE,75.71,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
10,2,2024-Q4,OVERALL_SCORE,93.19,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
11,3,2024-Q4,ON_TIME_DELIVERY,87.09,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
12,3,2024-Q4,QUALITY_ACCEPTANCE,99.58,95,A,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
13,3,2024-Q4,PRICE_VARIANCE,3.67,0,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
14,3,2024-Q4,LEAD_TIME_ADHERENCE,81.0,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
15,3,2024-Q4,OVERALL_SCORE,98.21,95,A,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
16,4,2024-Q4,ON_TIME_DELIVERY,76.19,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
17,4,2024-Q4,QUALITY_ACCEPTANCE,95.85,95,A,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
18,4,2024-Q4,PRICE_VARIANCE,5.13,0,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
19,4,2024-Q4,LEAD_TIME_ADHERENCE,98.54,95,A,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
20,4,2024-Q4,OVERALL_SCORE,97.7,95,A,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
