SUPPLIER_PRODUCT_ID,SUPPLIER_ID,PRODUCT_ID,SUPPLIER_PART_NUMBER,SUPPLIER_PRODUCT_DESCRIPTION,LEAD_TIME_DAYS,MINIMUM_ORDER_QUANTITY,ORDER_MULTIPLE,UNIT_PRICE,PRICE_UNIT_OF_MEASURE_ID,CURRENCY_ID,PREFERRED_SUPPLIER_FLAG,EFFECTIVE_DATE,VALID_FROM_TIMESTAMP,VALID_TO_TIMESTAMP,IS_CURRENT_FLAG,CREATED_BY_USER,CREATED_TIMESTAMP,UPDATED_BY_USER,UPDATED_TIMESTAMP
1,174,62,SP-00000001,Supplier Part 1,38,98,9,3173.74,1,1,False,2023-01-01,2023-01-01 00:00:00,,True,SYSTEM,2023-01-01 00:00:00,SYSTEM,2023-01-01 00:00:00
2,100,321,SP-00000002,Supplier Part 2,43,77,6,4497.72,1,1,False,2023-01-01,2023-01-01 00:00:00,,True,SYSTEM,2023-01-01 00:00:00,SYSTEM,2023-01-01 00:00:00
3,118,247,SP-00000003,Supplier Part 3,27,97,1,3734.13,1,3,False,2023-01-01,2023-01-01 00:00:00,,True,SYSTEM,2023-01-01 00:00:00,SYSTEM,2023-01-01 00:00:00
4,43,496,SP-00000004,Supplier Part 4,55,41,8,3530.39,1,2,False,2023-01-01,2023-01-01 00:00:00,,True,SYSTEM,2023-01-01 00:00:00,SYSTEM,2023-01-01 00:00:00
5,18,191,SP-00000005,Supplier Part 5,18,51,8,4457.14,1,1,True,2023-01-01,2023-01-01 00:00:00,,True,SYSTEM,2023-01-01 00:00:00,SYSTEM,2023-01-01 00:00:00
6,119,417,SP-00000006,Supplier Part 6,60,75,2,521.21,1,3,False,2023-01-01,2023-01-01 00:00:00,,True,SYSTEM,2023-01-01 00:00:00,SYSTEM,2023-01-01 00:00:00
7,125,247,SP-00000007,Supplier Part 7,46,38,4,1934.52,1,2,True,2023-01-01,2023-01-01 00:00:00,,True,SYSTEM,2023-01-01 00:00:00,SYSTEM,2023-01-01 00:00:00
8,93,424,SP-00000008,Supplier Part 8,44,92,2,4913.93,1,1,False,2023-01-01,2023-01-01 00:00:00,,True,SYSTEM,2023-01-01 00:00:00,SYSTEM,2023-01-01 00:00:00
9,113,234,SP-00000009,Supplier Part 9,52,62,2,2844.78,1,3,False,2023-01-01,2023-01-01 00:00:00,,True,SYSTEM,2023-01-01 00:00:00,SYSTEM,2023-01-01 00:00:00
10,110,74,SP-00000010,Supplier Part 10,40,43,4,3296.67,1,1,True,2023-01-01,2023-01-01 00:00:00,,True,SYSTEM,2023-01-01 00:00:00,SYSTEM,2023-01-01 00:00:00
11,129,36,SP-00000011,Supplier Part 11,37,68,5,3918.47,1,1,True,2023-01-01,2023-01-01 00:00:00,,True,SYSTEM,2023-01-01 00:00:00,SYSTEM,2023-01-01 00:00:00
12,10,263,SP-00000012,Supplier Part 12,39,100,9,387.75,1,3,True,2023-01-01,2023-01-01 00:00:00,,True,SYSTEM,2023-01-01 00:00:00,SYSTEM,2023-01-01 00:00:00
13,20,342,SP-00000013,Supplier Part 13,21,19,2,2060.24,1,3,False,2023-01-01,2023-01-01 00:00:00,,True,SYSTEM,2023-01-01 00:00:00,SYSTEM,2023-01-01 00:00:00
14,106,144,SP-00000014,Supplier Part 14,35,66,1,2468.26,1,3,False,2023-01-01,2023-01-01 00:00:00,,True,SYSTEM,2023-01-01 00:00:00,SYSTEM,2023-01-01 00:00:00
15,13,473,SP-00000015,Supplier Part 15,16,46,8,1592.75,1,1,True,2023-01-01,2023-01-01 00:00:00,,True,SYSTEM,2023-01-01 00:00:00,SYSTEM,2023-01-01 00:00:00
16,165,132,SP-00000016,Supplier Part 16,59,34,1,2753.81,1,3,True,2023-01-01,2023-01-01 00:00:00,,True,SYSTEM,2023-01-01 00:00:00,SYSTEM,2023-01-01 00:00:00
17,43,159,SP-00000017,Supplier Part 17,14,95,4,1679.31,1,2,False,2023-01-01,2023-01-01 00:00:00,,True,SYSTEM,2023-01-01 00:00:00,SYSTEM,2023-01-01 00:00:00
18,33,444,SP-00000018,Supplier Part 18,28,84,6,4821.45,1,1,False,2023-01-01,2023-01-01 00:00:00,,True,SYSTEM,2023-01-01 00:00:00,SYSTEM,2023-01-01 00:00:00
19,112,330,SP-00000019,Supplier Part 19,51,28,10,863.66,1,3,True,2023-01-01,2023-01-01 00:00:00,,True,SYSTEM,2023-01-01 00:00:00,SYSTEM,2023-01-01 00:00:00
20,109,150,SP-00000020,Supplier Part 20,30,48,6,538.57,1,2,False,2023-01-01,2023-01-01 00:00:00,,True,SYSTEM,2023-01-01 00:00:00,SYSTEM,2023-01-01 00:00:00
21,63,203,SP-00000021,Supplier Part 21,43,30,2,705.37,1,3,True,2023-01-01,2023-01-01 00:00:00,,True,SYSTEM,2023-01-01 00:00:00,SYSTEM,2023-01-01 00:00:00
22,122,378,SP-00000022,Supplier Part 22,18,86,9,2346.91,1,2,True,2023-01-01,2023-01-01 00:00:00,,True,SYSTEM,2023-01-01 00:00:00,SYSTEM,2023-01-01 00:00:00
23,178,346,SP-00000023,Supplier Part 23,41,61,3,3190.7,1,2,True,2023-01-01,2023-01-01 00:00:00,,True,SYSTEM,2023-01-01 00:00:00,SYSTEM,2023-01-01 00:00:00
24,165,190,SP-00000024,Supplier Part 24,21,27,9,1669.31,1,1,False,2023-01-01,2023-01-01 00:00:00,,True,SYSTEM,2023-01-01 00:00:00,SYSTEM,2023-01-01 00:00:00
