SCORECARD_ID,SUPPLIER_ID,EVALUATION_DATE,QUALITY_SCORE,DELIVERY_SCORE,PRICE_SCORE,RESPONSIVENESS_SCORE,OVERALL_SCORE,LEAD_TIME_VARIANCE_DAYS,INVOICE_ACCURACY_PCT
1,1,2024-01-31,69.04,74.62,79.15,68.78,73.2,1.63,97.0
2,2,2024-01-31,77.39,75.16,57.68,73.83,71.26,1.9,98.46
3,3,2024-01-31,70.31,73.88,75.52,62.82,71.56,0.91,94.74
4,4,2024-01-31,72.24,67.98,53.64,82.11,67.79,2.72,95.58
5,5,2024-01-31,76.8,52.35,48.54,53.78,58.95,1.73,95.28
6,6,2024-01-31,84.89,91.52,81.19,79.12,85.09,0.02,96.81
7,7,2024-01-31,92.61,88.78,91.07,83.18,89.66,2.03,93.39
8,8,2024-01-31,100,65.65,92.79,100,87.89,1.51,96.63
9,9,2024-01-31,78.95,70.08,72.34,69.75,73.26,1.26,93.66
10,10,2024-01-31,82.73,100,91.21,84.91,90.36,0.94,95.7
11,11,2024-01-31,100,82.12,77.63,83.49,86.57,0.87,98.99
12,12,2024-01-31,77.53,60.07,51.46,69.1,64.51,2.81,93.98
13,13,2024-01-31,72.42,62.9,61.42,75.75,67.31,3.29,92.11
14,14,2024-01-31,75.98,55.51,30,71.85,57.72,2.56,97.01
15,15,2024-01-31,54.22,53.97,49.24,62.15,54.09,0.89,94.05
16,16,2024-01-31,100,100,100,100,100.0,1.08,96.15
17,17,2024-01-31,61.06,69.88,55.67,76.47,64.67,1.09,95.58
18,18,2024-01-31,53.0,69.63,76.69,75.0,67.21,0.96,97.89
19,19,2024-01-31,98.02,88.8,93.46,85.59,92.25,0.7,92.38
20,20,2024-01-31,73.7,87.71,72.64,79.77,78.55,4.12,89.7
21,21,2024-01-31,74.63,70.45,65.99,74.15,71.14,7.57,97.69
22,22,2024-01-31,100,92.84,100,100,97.85,0.58,98.61
23,23,2024-01-31,85.39,89.7,90.57,92.99,89.12,2.74,98.71
24,24,2024-01-31,81.74,60.59,59.67,49.05,64.97,2.45,98.35
25,25,2024-01-31,95.44,85.22,84.47,95.21,89.6,3.75,98.65
26,26,2024-01-31,83.98,59.88,86.14,87.27,77.78,0.27,93.23
27,27,2024-01-31,96.01,51.77,74.15,87.5,76.0,1.5,97.37
28,28,2024-01-31,96.69,90.94,81.3,79.7,88.57,3.72,92.18
29,29,2024-01-31,66.8,65.05,50.7,86.25,65.17,0.78,95.05
30,30,2024-01-31,34.97,30,30,41.91,33.28,2.04,98.78
31,31,2024-01-31,83.61,86.37,99.1,100,90.77,1.16,92.43
32,32,2024-01-31,65.87,74.95,75.91,62.53,70.6,2.12,94.35
33,33,2024-01-31,95.64,89.16,79.8,97.17,89.96,4.16,100
34,34,2024-01-31,71.3,55.6,48.01,69.15,60.45,0.21,99.03
35,35,2024-01-31,71.73,56.2,62.13,78.84,65.74,0.86,92.61
36,36,2024-01-31,85.76,79.46,73.17,87.47,80.98,2.43,96.67
37,37,2024-01-31,66.08,46.87,88.56,60.28,65.07,3.39,94.88
38,38,2024-01-31,84.56,65.98,68.72,77.17,73.92,4.8,98.13
39,39,2024-01-31,100,97.04,100,82.06,96.42,4.19,98.83
40,40,2024-01-31,80.9,76.9,58.87,69.63,72.5,1.99,97.25
41,41,2024-01-31,95.21,60.63,77.4,93.76,80.17,3.24,95.76
42,42,2024-01-31,71.03,84.68,67.15,50.45,71.07,1.95,93.95
43,43,2024-01-31,72.85,65.79,45.76,43.79,59.6,0.79,90.77
44,44,2024-01-31,97.07,67.98,86.5,68.9,81.47,0.81,100
45,45,2024-01-31,74.84,47.14,84.29,78.96,69.51,4.24,97.55
46,46,2024-01-31,96.43,80.5,73.93,95.64,85.9,0.26,97.91
47,47,2024-01-31,85.37,48.9,75.51,78.68,70.96,1.66,95.84
48,48,2024-01-31,57.02,56.21,57.63,63.89,57.96,4.87,96.2
49,49,2024-01-31,88.77,88.53,77.1,75.94,83.86,1.93,92.02
50,50,2024-01-31,90.18,87.16,64.99,86.29,82.39,1.89,94.17
51,51,2024-01-31,55.09,40.26,70.2,70.03,56.66,0.47,98.66
52,52,2024-01-31,49.2,36.62,45.88,47.09,44.28,5.83,93.1
53,53,2024-01-31,69.08,65.6,50.07,69.68,63.37,2.39,92.56
54,54,2024-01-31,86.5,88.2,80.46,77.19,84.1,0.06,95.76
55,55,2024-01-31,82.49,86.51,68.87,91.59,81.66,1.07,94.03
56,56,2024-01-31,70.18,56.59,67.08,64.87,64.53,0.73,94.7
57,57,2024-01-31,86.28,81.04,78.72,82.35,82.23,1.92,94.73
58,58,2024-01-31,58.11,46.05,66.17,56.9,56.32,0.84,99.19
59,59,2024-01-31,100,91.79,99.77,88.84,95.81,8.8,99.1
60,60,2024-01-31,96.67,94.79,78.47,82.08,89.37,0.59,99.98
61,61,2024-01-31,90.71,74.88,82.64,93.96,84.43,2.56,98.79
62,62,2024-01-31,67.72,72.71,67.53,80.66,71.11,5.39,92.06
63,63,2024-01-31,85.14,70.31,71.78,80.84,76.7,0.21,96.73
64,64,2024-01-31,82.34,72.61,67.59,83.7,75.94,3.5,99.93
65,65,2024-01-31,81.62,77.62,65.88,71.25,74.93,1.5,95.98
66,66,2024-01-31,100,93.38,98.83,100,97.72,2.55,92.54
67,67,2024-01-31,75.26,71.42,52.51,74.68,68.33,1.08,95.3
68,68,2024-01-31,95.25,88.08,71.08,82.31,85.12,9.19,94.52
69,69,2024-01-31,100,90.97,84.01,100,93.29,0.21,96.34
70,70,2024-01-31,97.09,92.07,82.89,93.11,91.43,6.59,98.14
71,71,2024-01-31,100,78.16,66.15,82.62,82.38,1.43,94.83
72,72,2024-01-31,72.01,68.99,77.38,60.84,70.77,0.38,96.29
73,73,2024-01-31,80.08,71.42,68.48,88.46,75.84,3.66,96.26
74,74,2024-01-31,73.37,68.3,61.73,65.14,67.7,6.14,96.05
75,75,2024-01-31,71.86,68.89,49.34,63.38,64.07,0.63,92.61
76,76,2024-01-31,88.09,75.16,78.15,87.31,81.61,4.97,98.94
77,77,2024-01-31,69.25,69.86,63.85,66.39,67.65,1.73,94.4
78,78,2024-01-31,65.82,79.53,91.09,68.27,76.62,2.72,95.9
79,79,2024-01-31,100,65.95,65.7,99.95,81.2,3.04,92.61
80,80,2024-01-31,86.18,64.63,71.23,80.03,75.05,6.13,97.31
81,81,2024-01-31,98.57,81.68,99.08,96.65,93.34,0.67,99.86
82,82,2024-01-31,100,100,89.05,100,97.26,0.47,96.97
83,83,2024-01-31,76.48,69.93,77.46,66.46,73.26,0.65,96.77
84,84,2024-01-31,54.1,56.58,54.3,42.54,53.16,0.16,95.9
85,85,2024-01-31,82.47,73.28,67.57,77.96,75.31,3.42,94.79
86,86,2024-01-31,85.5,79.35,66.98,71.98,77.0,0.18,90.5
87,87,2024-01-31,78.32,85.01,52.48,56.85,70.65,4.32,97.31
88,88,2024-01-31,100,100,100,100,100.0,4.91,96.22
89,89,2024-01-31,81.59,61.62,85.41,77.24,75.9,3.97,96.95
90,90,2024-01-31,60.16,78.78,62.21,66.04,67.14,0.86,93.84
91,91,2024-01-31,83.35,77.46,85.63,89.91,83.14,0.4,89.05
92,92,2024-01-31,47.72,62.72,37.1,51.57,50.14,1.32,92.41
93,93,2024-01-31,89.86,66.2,77.53,66.31,76.15,3.58,95.18
94,94,2024-01-31,97.31,95.89,90.47,98.35,95.33,0.64,95.42
95,95,2024-01-31,60.79,62.52,39.76,56.44,55.4,0.99,97.68
96,96,2024-01-31,77.28,59.08,68.48,75.37,69.33,3.32,95.21
97,97,2024-01-31,73.3,86.76,68.41,77.26,76.71,3.72,96.19
98,98,2024-01-31,59.64,80.18,64.06,57.99,66.66,1.72,96.92
99,99,2024-01-31,74.34,71.17,89.07,86.41,78.88,2.47,97.63
100,100,2024-01-31,100,89.65,87.61,71.85,89.58,3.93,96.7
101,101,2024-01-31,64.63,78.0,58.15,87.32,70.42,1.12,98.56
