SUPPLIER_SITE_ID,SUPPLIER_ID,SITE_CODE,SITE_NAME,PARTY_ADDRESS_ID,PRIMARY_CONTACT_AT_SITE,SITE_CAPABILITIES,VALID_FROM_TIMESTAMP,VALID_TO_TIMESTAMP,IS_CURRENT_FLAG,CREATED_BY_USER,CREATED_TIMESTAMP,UPDATED_BY_USER,UPDATED_TIMESTAMP
1,1,SITE-00001,Primary Site,1,Primary Contact,Assembly,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
2,2,SITE-00002,Primary Site,2,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
3,3,SITE-00003,Primary Site,3,Primary Contact,Distribution,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
4,4,SITE-00004,Primary Site,4,Primary Contact,Manufacturing,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
5,5,SITE-00005,Primary Site,5,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
6,6,SITE-00006,Primary Site,6,Primary Contact,Distribution,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
7,7,SITE-00007,Primary Site,7,Primary Contact,Distribution,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
8,8,SITE-00008,Primary Site,8,Primary Contact,Manufacturing,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
9,9,SITE-00009,Primary Site,9,Primary Contact,Distribution,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
10,10,SITE-00010,Primary Site,10,Primary Contact,Distribution,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
11,11,SITE-00011,Primary Site,11,Primary Contact,Manufacturing,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
12,12,SITE-00012,Primary Site,12,Primary Contact,Distribution,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
13,13,SITE-00013,Primary Site,13,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
14,14,SITE-00014,Primary Site,14,Primary Contact,Assembly,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
15,15,SITE-00015,Primary Site,15,Primary Contact,Manufacturing,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
16,16,SITE-00016,Primary Site,16,Primary Contact,Assembly,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
17,17,SITE-00017,Primary Site,17,Primary Contact,Distribution,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
18,18,SITE-00018,Primary Site,18,Primary Contact,Assembly,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
19,19,SITE-00019,Primary Site,19,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
20,20,SITE-00020,Primary Site,20,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
21,21,SITE-00021,Primary Site,21,Primary Contact,Manufacturing,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
22,22,SITE-00022,Primary Site,22,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
23,23,SITE-00023,Primary Site,23,Primary Contact,Distribution,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
24,24,SITE-00024,Primary Site,24,Primary Contact,Assembly,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
25,25,SITE-00025,Primary Site,25,Primary Contact,Manufacturing,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
26,26,SITE-00026,Primary Site,26,Primary Contact,Distribution,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
27,27,SITE-00027,Primary Site,27,Primary Contact,Distribution,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
28,28,SITE-00028,Primary Site,28,Primary Contact,Distribution,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
29,29,SITE-00029,Primary Site,29,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
30,30,SITE-00030,Primary Site,30,Primary Contact,Distribution,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
31,31,SITE-00031,Primary Site,31,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
32,32,SITE-00032,Primary Site,32,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
33,33,SITE-00033,Primary Site,33,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
34,34,SITE-00034,Primary Site,34,Primary Contact,Manufacturing,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
35,35,SITE-00035,Primary Site,35,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
36,36,SITE-00036,Primary Site,36,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
37,37,SITE-00037,Primary Site,37,Primary Contact,Distribution,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
38,38,SITE-00038,Primary Site,38,Primary Contact,Assembly,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
39,39,SITE-00039,Primary Site,39,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
40,40,SITE-00040,Primary Site,40,Primary Contact,Manufacturing,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
41,41,SITE-00041,Primary Site,41,Primary Contact,Assembly,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
42,42,SITE-00042,Primary Site,42,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
43,43,SITE-00043,Primary Site,43,Primary Contact,Assembly,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
