UNIT_OF_MEASURE_ID,UNIT_OF_MEASURE_CODE,UNIT_OF_MEASURE_NAME,UNIT_OF_MEASURE_CLASS,BASE_UNIT_FLAG,CONVERSION_FACTOR_TO_BASE,UNIT_OF_MEASURE_DESCRIPTION,VALID_FROM_TIMESTAMP,VALID_TO_TIMESTAMP,IS_CURRENT_FLAG,CREATED_BY_USER,CREATED_TIMESTAMP,UPDATED_BY_USER,UPDATED_TIMESTAMP
1,EA,Each,COUNT,True,1.0,Each - COUNT,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
2,KG,Kilogram,WEIGHT,True,1.0,Kilogram - WEIGHT,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
3,LB,Pound,WEIGHT,False,0.453592,Pound - WEIGHT,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
4,MT,Metric Ton,WEIGHT,False,1000.0,Metric Ton - WEIGHT,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
5,L,Liter,VOLUME,True,1.0,Liter - VOLUME,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
6,GAL,Gallon,VOLUME,False,3.78541,Gallon - VOLUME,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
7,M,Meter,LENGTH,True,1.0,Meter - LENGTH,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
8,FT,Foot,LENGTH,False,0.3048,Foot - LENGTH,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
9,SQM,Square Meter,AREA,True,1.0,Square Meter - AREA,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
10,BOX,Box,COUNT,False,1.0,Box - COUNT,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
